# Matter power spectrum P(k) at redshift z=0.333689
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       3.829534470297e+01 
       1.307253015860e-05       4.776892562573e+01 
       1.645734041311e-05       5.958600275256e+01 
       2.071856405662e-05       7.432631430658e+01 
       2.608312678676e-05       9.271284909310e+01 
       3.283671113090e-05       1.156473370952e+02 
       4.133897008243e-05       1.442543431077e+02 
       5.204267993417e-05       1.799360586305e+02 
       6.551785226700e-05       2.244405206767e+02 
       8.248208914511e-05       2.799461233904e+02 
       1.038387980426e-04       3.491660799228e+02 
       1.307253015860e-04       4.354767799766e+02 
       1.645734041311e-04       5.430742104588e+02 
       2.071856405662e-04       6.771619392977e+02 
       2.608312678676e-04       8.441722881700e+02 
       3.283671113090e-04       1.052018026058e+03 
       4.133897008243e-04       1.310364408855e+03 
       5.204267993417e-04       1.630900802811e+03 
       6.551785226700e-04       2.027579706460e+03 
       8.248208914511e-04       2.516778481984e+03 
       1.038387980426e-03       3.117300907281e+03 
       1.307253015860e-03       3.850015202823e+03 
       1.645734041311e-03       4.736674873672e+03 
       2.071856405662e-03       5.798171460547e+03 
       2.608312678676e-03       7.050987967453e+03 
       3.283671113090e-03       8.502257365993e+03 
       4.133897008243e-03       1.014308484483e+04 
       5.204267993417e-03       1.193950604040e+04 
       6.551785226700e-03       1.382106032618e+04 
       8.248208914511e-03       1.567175174543e+04 
       1.038387980426e-02       1.731382380585e+04 
       1.307253015860e-02       1.850558179766e+04 
       1.645734041309e-02       1.895245351665e+04 
       2.071856389740e-02       1.836640730164e+04 
       2.608300445243e-02       1.661588576606e+04 
       3.281964991556e-02       1.396952611604e+04 
       4.076731882098e-02       1.132968943672e+04 
       4.748610964640e-02       9.817684370169e+03 
       5.235556489500e-02       9.075818757131e+03 
       5.636819838611e-02       8.613642891783e+03 
       5.994952259956e-02       8.264937481968e+03 
       6.328896038018e-02       7.960060987529e+03 
       6.648665992189e-02       7.664446770569e+03 
       6.960262323712e-02       7.359823854127e+03 
       7.267623995969e-02       7.036997579011e+03 
       7.573525737584e-02       6.694014070244e+03 
       7.880036892493e-02       6.333674370138e+03 
       8.188776255393e-02       5.962438711112e+03 
       8.501063007773e-02       5.589495517514e+03 
       8.818010842318e-02       5.225070534607e+03 
       9.140589175815e-02       4.879575343229e+03 
       9.469664359045e-02       4.562079945187e+03 
       9.806028224808e-02       4.279678365456e+03 
       1.015041833512e-01       4.036832344194e+03 
       1.050353261720e-01       3.834134914523e+03 
       1.086604010236e-01       3.669029079765e+03 
       1.123858889329e-01       3.535610003543e+03 
       1.162181211904e-01       3.424826599086e+03 
       1.201633240441e-01       3.325557698793e+03 
       1.242276522951e-01       3.225850409083e+03 
       1.284172145558e-01       3.114671157404e+03 
       1.327380922745e-01       2.984142306561e+03 
       1.371963541906e-01       2.831481972231e+03 
       1.417980675894e-01       2.659916264633e+03 
       1.465493075383e-01       2.477770107495e+03 
       1.514561651563e-01       2.297228129158e+03 
       1.565247558934e-01       2.130642011858e+03 
       1.617612287437e-01       1.987709291730e+03 
       1.671717772872e-01       1.873034561260e+03 
       1.727626534338e-01       1.785070494932e+03 
       1.785401847321e-01       1.716133121319e+03 
       1.845107960933e-01       1.655334500695e+03 
       1.906810367808e-01       1.590389379749e+03 
       1.970576135147e-01       1.512043283105e+03 
       2.036474305566e-01       1.418734857436e+03 
       2.104576376707e-01       1.317271768025e+03 
       2.174956869163e-01       1.218399730197e+03 
       2.247693993211e-01       1.131798851822e+03 
       2.322870426350e-01       1.062355038930e+03 
       2.400574215756e-01       1.008620513503e+03 
       2.480899822819e-01       9.630439237142e+02 
       2.563949331083e-01       9.162617573806e+02 
       2.649833844501e-01       8.626699273823e+02 
       2.738675110412e-01       8.032248746301e+02 
       2.830607411522e-01       7.443060345273e+02 
       2.925779784269e-01       6.930732143431e+02 
       3.024358638260e-01       6.514937379778e+02 
       3.126530874568e-01       6.159581735330e+02 
       3.232507631655e-01       5.807705506427e+02 
       3.342528829678e-01       5.427071927135e+02 
       3.456868741616e-01       5.039222150065e+02 
       3.575842899774e-01       4.684359067993e+02 
       3.699816759319e-01       4.380695089210e+02 
       3.829216702507e-01       4.104843458313e+02 
       3.964544203492e-01       3.828097455152e+02 
       4.106394324383e-01       3.549023936381e+02 
       4.255480244689e-01       3.288640356619e+02 
       4.412666349754e-01       3.053635660664e+02 
       4.579013710836e-01       2.831320744726e+02 
       4.755843921419e-01       2.610967615831e+02 
       4.944830838092e-01       2.400832468132e+02 
       5.148136006390e-01       2.205752321027e+02 
       5.368614811649e-01       2.016067034974e+02 
       5.610141638893e-01       1.832374888038e+02 
       5.878144430577e-01       1.656651683549e+02 
       6.180527285099e-01       1.484375789776e+02 
       6.529356760506e-01       1.315779980998e+02 
       6.944158716649e-01       1.147953773738e+02 
       7.458878060771e-01       9.787380067126e+01 
       8.137756820931e-01       8.045251031471e+01 
       9.112857638517e-01       6.219676534937e+01 
       1.065396821454e+00       4.339284047969e+01 
       1.310859802664e+00       2.670255509122e+01 
       1.647471546876e+00       1.548731128606e+01 
       2.073990047125e+00       8.866010041074e+00 
       2.610998571871e+00       5.033710503794e+00 
       3.287052452179e+00       2.836806395171e+00 
       4.138153861949e+00       1.587805551888e+00 
       5.209627054722e+00       8.833138909922e-01 
       6.558531885160e+00       4.886377023688e-01 
       8.256702454290e+00       2.689148015172e-01 
       1.039457253733e+01       1.472907915431e-01 
       1.308599151198e+01       8.031785279804e-02 
       1.647428725296e+01       4.361722741285e-02 
       2.073989886394e+01       2.359559212135e-02 
       2.610998571786e+01       1.271690771508e-02 
       3.287052452179e+01       6.829217906753e-03 
       4.138153861949e+01       3.653958440483e-03 
       5.209627054722e+01       1.947464146688e-03 
       6.558531885160e+01       1.033487933053e-03 
       8.256702454290e+01       5.456275624009e-04 
       1.039457253733e+02       2.861870255329e-04 
       1.308599151198e+02       1.488070075526e-04 
       1.647428725296e+02       7.645532087668e-05 
       2.073989886394e+02       3.863679955321e-05 
       2.610998571786e+02       1.909372674710e-05 
       3.287052452179e+02       9.172787054109e-06 
       4.138153861949e+02       4.271322999653e-06 
       5.209627054722e+02       1.939149967793e-06 
       6.558531885160e+02       8.762526815710e-07 
       8.256702454290e+02       4.068932453796e-07 
       1.039457253733e+03       1.971466851485e-07 
       1.308599151198e+03       9.604740051042e-08 
       1.647428725296e+03       4.579937673588e-08 
       2.073989886394e+03       2.303788173572e-08 
       2.610998571786e+03       1.158745668498e-08 
       3.287052452180e+03       5.919713912072e-09 
       4.138153861949e+03       2.984273568945e-09 
       5.209627054722e+03       1.529581715484e-09 
       6.558531885160e+03       7.962603412679e-10 
       8.256702454290e+03       4.048642933775e-10 
       1.039457253733e+04       2.091402517679e-10 
       1.308599151198e+04       1.093279986970e-10 
       1.647428725296e+04       5.791631253937e-11 
       2.073989886394e+04       2.831824182250e-11 
       2.610998571786e+04       1.080963122472e-11 
       3.287052452180e+04       5.359555820236e-13 
       4.138153861949e+04       1.554029184811e-10 
       5.209627054722e+04       3.773571612227e-07 
       6.558531885160e+04       1.948199323462e-05 
       8.256702454290e+04       1.628719786004e+00 
       1.039457253733e+05       3.267603362869e+06 
