# Matter power spectrum P(k) at redshift z=0.987281
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       2.038235207959e+01 
       1.307253015860e-05       2.542456721374e+01 
       1.645734041311e-05       3.171410960447e+01 
       2.071856405662e-05       3.955952129987e+01 
       2.608312678676e-05       4.934560899700e+01 
       3.283671113090e-05       6.155233722156e+01 
       4.133897008243e-05       7.677825814682e+01 
       5.204267993417e-05       9.576973377355e+01 
       6.551785226700e-05       1.194572400214e+02 
       8.248208914511e-05       1.490004050179e+02 
       1.038387980426e-04       1.858436975698e+02 
       1.307253015860e-04       2.317849218717e+02 
       1.645734041311e-04       2.890587955723e+02 
       2.071856405662e-04       3.604375878365e+02 
       2.608312678676e-04       4.493498222289e+02 
       3.283671113090e-04       5.600156967477e+02 
       4.133897008243e-04       6.975934843145e+02 
       5.204267993417e-04       8.683243490661e+02 
       6.551785226700e-04       1.079654871214e+03 
       8.248208914511e-04       1.340310025285e+03 
       1.038387980426e-03       1.660281476201e+03 
       1.307253015860e-03       2.050655076423e+03 
       1.645734041311e-03       2.523025080731e+03 
       2.071856405662e-03       3.088525703141e+03 
       2.608312678676e-03       3.755933529619e+03 
       3.283671113090e-03       4.529051514762e+03 
       4.133897008243e-03       5.403141425710e+03 
       5.204267993417e-03       6.360109330202e+03 
       6.551785226700e-03       7.362777768842e+03 
       8.248208914511e-03       8.348535062916e+03 
       1.038387980426e-02       9.223270867994e+03 
       1.307253015860e-02       9.858255496508e+03 
       1.645734041309e-02       1.009622130167e+04 
       2.071856389740e-02       9.783772992637e+03 
       2.608300445243e-02       8.851346088659e+03 
       3.281964991556e-02       7.441598735855e+03 
       4.076731882098e-02       6.035331794937e+03 
       4.748610964640e-02       5.229951490897e+03 
       5.235556489500e-02       4.834739634897e+03 
       5.636819838611e-02       4.588520318649e+03 
       5.994952259956e-02       4.402773980954e+03 
       6.328896038018e-02       4.240385017532e+03 
       6.648665992189e-02       4.082979082961e+03 
       6.960262323712e-02       3.920697757302e+03 
       7.267623995969e-02       3.748735681703e+03 
       7.573525737584e-02       3.565912358971e+03 
       7.880036892493e-02       3.374047372633e+03 
       8.188776255393e-02       3.176222451072e+03 
       8.501063007773e-02       2.977539406829e+03 
       8.818010842318e-02       2.783389977954e+03 
       9.140589175815e-02       2.599341990698e+03 
       9.469664359045e-02       2.430212726277e+03 
       9.806028224808e-02       2.279805890292e+03 
       1.015041833512e-01       2.150433844315e+03 
       1.050353261720e-01       2.042441743703e+03 
       1.086604010236e-01       1.954481526457e+03 
       1.123858889329e-01       1.883422972987e+03 
       1.162181211904e-01       1.824426963153e+03 
       1.201633240441e-01       1.771531676409e+03 
       1.242276522951e-01       1.718425674208e+03 
       1.284172145558e-01       1.659213532857e+03 
       1.327380922745e-01       1.589655263661e+03 
       1.371963541906e-01       1.508344247937e+03 
       1.417980675894e-01       1.416945101703e+03 
       1.465493075383e-01       1.319920113783e+03 
       1.514561651563e-01       1.223748229422e+03 
       1.565247558934e-01       1.134989703278e+03 
       1.617612287437e-01       1.058853769476e+03 
       1.671717772872e-01       9.977719020958e+02 
       1.727626534338e-01       9.509044256909e+02 
       1.785401847321e-01       9.141996440795e+02 
       1.845107960933e-01       8.818083715530e+02 
       1.906810367808e-01       8.472100294267e+02 
       1.970576135147e-01       8.054737860964e+02 
       2.036474305566e-01       7.557683770922e+02 
       2.104576376707e-01       7.017119329331e+02 
       2.174956869163e-01       6.490437857778e+02 
       2.247693993211e-01       6.029150933112e+02 
       2.322870426350e-01       5.659146570149e+02 
       2.400574215756e-01       5.372929526053e+02 
       2.480899822819e-01       5.130164833312e+02 
       2.563949331083e-01       4.880974738051e+02 
       2.649833844501e-01       4.595477995869e+02 
       2.738675110412e-01       4.278838482947e+02 
       2.830607411522e-01       3.964954930656e+02 
       2.925779784269e-01       3.692006473805e+02 
       3.024358638260e-01       3.470544602897e+02 
       3.126530874568e-01       3.281208539855e+02 
       3.232507631655e-01       3.093768544313e+02 
       3.342528829678e-01       2.891037795384e+02 
       3.456868741616e-01       2.684444849547e+02 
       3.575842899774e-01       2.495368555932e+02 
       3.699816759319e-01       2.333641194304e+02 
       3.829216702507e-01       2.186674474405e+02 
       3.964544203492e-01       2.039226211145e+02 
       4.106394324383e-01       1.890602252894e+02 
       4.255480244689e-01       1.751879203770e+02 
       4.412666349754e-01       1.626681996464e+02 
       4.579013710836e-01       1.508236926907e+02 
       4.755843921419e-01       1.390870479981e+02 
       4.944830838092e-01       1.278938246931e+02 
       5.148136006390e-01       1.175028278911e+02 
       5.368614811649e-01       1.073980727009e+02 
       5.610141638893e-01       9.761057463015e+01 
       5.878144430577e-01       8.825102336846e+01 
       6.180527285099e-01       7.907275768354e+01 
       6.529356760506e-01       7.009254868498e+01 
       6.944158716649e-01       6.115154252352e+01 
       7.458878060771e-01       5.213771871978e+01 
       8.137756820931e-01       4.285735500804e+01 
       9.112857638517e-01       3.313247270513e+01 
       1.065396821454e+00       2.311566624693e+01 
       1.310859802664e+00       1.422445768102e+01 
       1.647471546876e+00       8.250148673229e+00 
       2.073990047125e+00       4.722964120332e+00 
       2.610998571871e+00       2.681489392621e+00 
       3.287052452179e+00       1.511184824081e+00 
       4.138153861949e+00       8.458589856074e-01 
       5.209627054722e+00       4.705624007518e-01 
       6.558531885160e+00       2.603085102866e-01 
       8.256702454290e+00       1.432550998913e-01 
       1.039457253733e+01       7.846329632633e-02 
       1.308599151198e+01       4.278708093633e-02 
       1.647428725296e+01       2.323653822881e-02 
       2.073989886394e+01       1.257080262911e-02 
       2.610998571786e+01       6.775549474120e-03 
       3.287052452179e+01       3.638993428293e-03 
       4.138153861949e+01       1.947379309690e-03 
       5.209627054722e+01       1.038186477979e-03 
       6.558531885160e+01       5.511894745430e-04 
       8.256702454290e+01       2.911932546989e-04 
       1.039457253733e+02       1.528941964219e-04 
       1.308599151198e+02       7.962817954247e-05 
       1.647428725296e+02       4.101195934900e-05 
       2.073989886394e+02       2.079985527840e-05 
       2.610998571786e+02       1.033054596138e-05 
       3.287052452179e+02       4.994738798744e-06 
       4.138153861949e+02       2.342023176780e-06 
       5.209627054722e+02       1.068730909001e-06 
       6.558531885160e+02       4.827843456342e-07 
       8.256702454290e+02       2.227412658800e-07 
       1.039457253733e+03       1.078908995753e-07 
       1.308599151198e+03       5.387193936181e-08 
       1.647428725296e+03       2.620211870935e-08 
       2.073989886394e+03       1.271408526615e-08 
       2.610998571786e+03       6.633551208840e-09 
       3.287052452180e+03       3.274747089185e-09 
       4.138153861949e+03       1.709817591386e-09 
       5.209627054722e+03       8.824952123127e-10 
       6.558531885160e+03       4.535263379750e-10 
       8.256702454290e+03       2.282004827351e-10 
       1.039457253733e+04       1.209859557549e-10 
       1.308599151198e+04       6.200631041186e-11 
       1.647428725296e+04       3.283489141174e-11 
       2.073989886394e+04       1.815010049271e-11 
       2.610998571786e+04       4.634268773200e-12 
       3.287052452180e+04       2.642801744815e-11 
       4.138153861949e+04       8.981458821674e-10 
