# Matter power spectrum P(k) at redshift z=0.664447
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       2.745402793200e+01 
       1.307253015860e-05       3.424566037261e+01 
       1.645734041311e-05       4.271735180684e+01 
       2.071856405662e-05       5.328472392935e+01 
       2.608312678676e-05       6.646609190984e+01 
       3.283671113090e-05       8.290792526709e+01 
       4.133897008243e-05       1.034164289632e+02 
       5.204267993417e-05       1.289968847698e+02 
       6.551785226700e-05       1.609025346133e+02 
       8.248208914511e-05       2.006952131572e+02 
       1.038387980426e-04       2.503203028778e+02 
       1.307253015860e-04       3.121988769587e+02 
       1.645734041311e-04       3.893400657571e+02 
       2.071856405662e-04       4.854762282342e+02 
       2.608312678676e-04       6.052221871889e+02 
       3.283671113090e-04       7.542566373664e+02 
       4.133897008243e-04       9.395181447936e+02 
       5.204267993417e-04       1.169399702679e+03 
       6.551785226700e-04       1.453916279015e+03 
       8.248208914511e-04       1.804811634269e+03 
       1.038387980426e-03       2.235553285799e+03 
       1.307253015860e-03       2.761091229795e+03 
       1.645734041311e-03       3.397035059170e+03 
       2.071856405662e-03       4.158367583293e+03 
       2.608312678676e-03       5.056910839529e+03 
       3.283671113090e-03       6.097780963529e+03 
       4.133897008243e-03       7.274599235258e+03 
       5.204267993417e-03       8.563004227742e+03 
       6.551785226700e-03       9.912636484251e+03 
       8.248208914511e-03       1.124000724608e+04 
       1.038387980426e-02       1.241765792045e+04 
       1.307253015860e-02       1.327255554253e+04 
       1.645734041309e-02       1.359305699654e+04 
       2.071856389740e-02       1.317242524448e+04 
       2.608300445243e-02       1.191701735087e+04 
       3.281964991556e-02       1.001899501609e+04 
       4.076731882098e-02       8.125678064709e+03 
       4.748610964640e-02       7.041328146619e+03 
       5.235556489500e-02       6.509238462962e+03 
       5.636819838611e-02       6.177731218045e+03 
       5.994952259956e-02       5.927676540877e+03 
       6.328896038018e-02       5.708993371223e+03 
       6.648665992189e-02       5.497094832005e+03 
       6.960262323712e-02       5.278569287024e+03 
       7.267623995969e-02       5.047071735230e+03 
       7.573525737584e-02       4.800958680189e+03 
       7.880036892493e-02       4.542597617624e+03 
       8.188776255393e-02       4.276292065597e+03 
       8.501063007773e-02       4.008795027082e+03 
       8.818010842318e-02       3.747432727625e+03 
       9.140589175815e-02       3.499639896010e+03 
       9.469664359045e-02       3.271933860141e+03 
       9.806028224808e-02       3.069405708326e+03 
       1.015041833512e-01       2.895235156759e+03 
       1.050353261720e-01       2.749850022372e+03 
       1.086604010236e-01       2.631428983338e+03 
       1.123858889329e-01       2.535750492456e+03 
       1.162181211904e-01       2.456308334730e+03 
       1.201633240441e-01       2.385091522629e+03 
       1.242276522951e-01       2.313591971233e+03 
       1.284172145558e-01       2.233861868620e+03 
       1.327380922745e-01       2.140233653155e+03 
       1.371963541906e-01       2.030750813481e+03 
       1.417980675894e-01       1.907708482497e+03 
       1.465493075383e-01       1.777077342297e+03 
       1.514561651563e-01       1.647589000251e+03 
       1.565247558934e-01       1.528098330487e+03 
       1.617612287437e-01       1.425588531862e+03 
       1.671717772872e-01       1.343347417705e+03 
       1.727626534338e-01       1.280254933989e+03 
       1.785401847321e-01       1.230821871757e+03 
       1.845107960933e-01       1.187214076845e+03 
       1.906810367808e-01       1.140642435056e+03 
       1.970576135147e-01       1.084444807107e+03 
       2.036474305566e-01       1.017524841834e+03 
       2.104576376707e-01       9.447504802157e+02 
       2.174956869163e-01       8.738425406546e+02 
       2.247693993211e-01       8.117295917070e+02 
       2.322870426350e-01       7.619225375256e+02 
       2.400574215756e-01       7.233863894660e+02 
       2.480899822819e-01       6.907016984269e+02 
       2.563949331083e-01       6.571459836884e+02 
       2.649833844501e-01       6.187107026561e+02 
       2.738675110412e-01       5.760766974942e+02 
       2.830607411522e-01       5.338210982559e+02 
       2.925779784269e-01       4.970749735676e+02 
       3.024358638260e-01       4.672548189775e+02 
       3.126530874568e-01       4.417668444744e+02 
       3.232507631655e-01       4.165308277439e+02 
       3.342528829678e-01       3.892337938574e+02 
       3.456868741616e-01       3.614176199448e+02 
       3.575842899774e-01       3.359649873730e+02 
       3.699816759319e-01       3.141873928362e+02 
       3.829216702507e-01       2.944023869414e+02 
       3.964544203492e-01       2.745519257893e+02 
       4.106394324383e-01       2.545393995918e+02 
       4.255480244689e-01       2.358633675466e+02 
       4.412666349754e-01       2.190084766286e+02 
       4.579013710836e-01       2.030620023992e+02 
       4.755843921419e-01       1.872605704763e+02 
       4.944830838092e-01       1.721891179542e+02 
       5.148136006390e-01       1.581986860861e+02 
       5.368614811649e-01       1.445942689471e+02 
       5.610141638893e-01       1.314183804548e+02 
       5.878144430577e-01       1.188157890924e+02 
       6.180527285099e-01       1.064599320297e+02 
       6.529356760506e-01       9.436833148290e+01 
       6.944158716649e-01       8.233163154458e+01 
       7.458878060771e-01       7.019581065998e+01 
       8.137756820931e-01       5.770110081119e+01 
       9.112857638517e-01       4.460792231721e+01 
       1.065396821454e+00       3.112163485226e+01 
       1.310859802664e+00       1.915112339610e+01 
       1.647471546876e+00       1.110759064446e+01 
       2.073990047125e+00       6.358755969269e+00 
       2.610998571871e+00       3.610218324035e+00 
       3.287052452179e+00       2.034583205708e+00 
       4.138153861949e+00       1.138801035459e+00 
       5.209627054722e+00       6.335288534996e-01 
       6.558531885160e+00       3.504599985417e-01 
       8.256702454290e+00       1.928692867151e-01 
       1.039457253733e+01       1.056382983565e-01 
       1.308599151198e+01       5.760537635933e-02 
       1.647428725296e+01       3.128349852404e-02 
       2.073989886394e+01       1.692378071036e-02 
       2.610998571786e+01       9.121443584743e-03 
       3.287052452179e+01       4.898654625069e-03 
       4.138153861949e+01       2.621247326978e-03 
       5.209627054722e+01       1.397247410220e-03 
       6.558531885160e+01       7.416594612251e-04 
       8.256702454290e+01       3.916870101860e-04 
       1.039457253733e+02       2.055519540697e-04 
       1.308599151198e+02       1.069660828175e-04 
       1.647428725296e+02       5.502490039056e-05 
       2.073989886394e+02       2.785657767418e-05 
       2.610998571786e+02       1.380050472251e-05 
       3.287052452179e+02       6.650797400010e-06 
       4.138153861949e+02       3.107411598269e-06 
       5.209627054722e+02       1.414140661906e-06 
       6.558531885160e+02       6.388690656962e-07 
       8.256702454290e+02       2.958681338291e-07 
       1.039457253733e+03       1.435876177848e-07 
       1.308599151198e+03       7.090629888058e-08 
       1.647428725296e+03       3.401477162725e-08 
       2.073989886394e+03       1.681358667062e-08 
       2.610998571786e+03       8.660435249290e-09 
       3.287052452180e+03       4.323519327247e-09 
       4.138153861949e+03       2.203010906457e-09 
       5.209627054722e+03       1.136235776771e-09 
       6.558531885160e+03       5.805871323901e-10 
       8.256702454290e+03       3.056005570409e-10 
       1.039457253733e+04       1.557115657774e-10 
       1.308599151198e+04       8.279022275889e-11 
       1.647428725296e+04       4.384680282843e-11 
       2.073989886394e+04       1.913503394803e-11 
       2.610998571786e+04       1.721077067516e-11 
       3.287052452180e+04       4.684339619980e-11 
       4.138153861949e+04       9.385689328495e-10 
       5.209627054722e+04       2.371148279144e-09 
       6.558531885160e+04       8.619281172646e-05 
       8.256702454290e+04       3.257343839972e-02 
       1.039457253733e+05       3.622563863650e+06 
