#  R_hMpc M_hMsun sigma
5.169531223939437953e-03 1.000000000000000000e+08 4.850456825914134740e+00
5.306766898692433926e-03 1.081774017548856288e+08 4.831261618543338798e+00
5.447645772336979185e-03 1.170235025043789893e+08 4.811671299942142710e+00
5.592264560965215688e-03 1.265929844518006444e+08 4.791663620017465597e+00
5.740722548193792629e-03 1.369450013839243054e+08 4.771208261341513435e+00
5.893121653324008904e-03 1.481435443303210139e+08 4.750292792020168520e+00
6.049566501311426543e-03 1.602578371241384745e+08 4.728918957140861856e+00
6.210164494592900278e-03 1.733627643094694912e+08 4.707100621312485522e+00
6.375025886820464595e-03 1.875393340404297113e+08 4.684884803450407809e+00
6.544263858552633317e-03 2.028751788333526552e+08 4.662341570547543057e+00
6.717994594955017246e-03 2.194650972674985826e+08 4.639552711732995327e+00
6.896337365563727506e-03 2.374116399828117192e+08 4.616619522784315421e+00
7.079414606166254363e-03 2.568257435970688760e+08 4.593639493538340446e+00
7.267352002855982304e-03 2.778274164609735608e+08 4.570699858758620060e+00
7.460278578318168402e-03 3.005464804902066588e+08 4.547878760577017232e+00
7.658326780406514607e-03 3.251233736600587964e+08 4.525230684197494746e+00
7.861632573071234906e-03 3.517100181232797503e+08 4.502804054848184023e+00
8.070335529700906063e-03 3.804707593174014091e+08 4.480640888468054861e+00
8.284578928942343962e-03 4.115833818666479588e+08 4.458791715296766434e+00
8.504509853064213393e-03 4.452402085582289100e+08 4.437324311083984618e+00
8.730279288931816484e-03 4.816492891863257289e+08 4.416322258928507161e+00
8.962042231662550179e-03 5.210356866126408577e+08 4.395884476012837716e+00
9.199957791033096591e-03 5.636428679932832718e+08 4.376106024321316568e+00
9.444189300711332974e-03 6.097342097718538046e+08 4.357068523343248678e+00
9.694904430388104344e-03 6.595946257418732643e+08 4.338822217132107362e+00
9.952275300885764231e-03 7.135323282424205542e+08 4.321387040881996988e+00
1.021647860232240655e-02 7.718807333737912178e+08 4.304755835601848268e+00
1.048769571541314019e-02 8.350005220103236437e+08 4.288909378764262925e+00
1.076611283599143362e-02 9.032818693504985571e+08 4.273827952277426512e+00
1.105192110283622665e-02 9.771468567863297462e+08 4.259492262513129290e+00
1.134531672889238681e-02 1.057052081000983238e+09 4.245876207192764262e+00
1.164650113597475063e-02 1.143491476422810793e+09 4.232927178694737336e+00
1.195568109304811881e-02 1.236999368482777357e+09 4.220554835542448480e+00
1.227306885817815163e-02 1.338153776549010038e+09 4.208631815747225779e+00
1.259888232425071183e-02 1.447579986955595016e+09 4.197008595448157742e+00
1.293334516855955060e-02 1.565954418212274551e+09 4.185535294918825144e+00
1.327668700636512079e-02 1.694008802287871599e+09 4.174072271240636844e+00
1.362914354852995044e-02 1.832534707814074516e+09 4.162483434176315278e+00
1.399095676333874001e-02 1.982388433169750214e+09 4.150622055285683842e+00
1.436237504261427857e-02 2.144496299692420244e+09 4.138326227619508302e+00
1.474365337224330282e-02 2.319860377736920834e+09 4.125434353838277168e+00
1.513505350722927668e-02 2.509564680976876736e+09 4.111811374389572116e+00
1.553684415139225741e-02 2.714781867239065647e+09 4.097363150949397514e+00
1.594930114183936570e-02 2.936780487291985989e+09 4.082027549608718608e+00
1.637270763833230391e-02 3.176932826396937847e+09 4.065757378209704953e+00
1.680735431768203350e-02 3.436723387094253540e+09 4.048520797895037937e+00
1.725353957330411081e-02 3.717758065661056995e+09 4.030321812465794018e+00
1.771156972007156480e-02 4.021774078964827061e+09 4.011213090991561536e+00
1.818175920460599060e-02 4.350650703075625420e+09 3.991279309574079281e+00
1.866443082115134752e-02 4.706420890017867088e+09 3.970609273009246820e+00
1.915991593317846811e-02 5.091283834470493317e+09 3.949291234485947211e+00
1.966855470087250715e-02 5.507618568096689224e+09 3.927426963802508109e+00
2.019069631465957027e-02 5.957998665536617279e+09 3.905125285000312196e+00
2.072669923493279318e-02 6.445208152968272209e+09 3.882469842131248683e+00
2.127693143814227486e-02 6.972258717575130463e+09 3.806165527425453998e+00
2.184177066941815973e-02 7.542408324301274300e+09 3.787944827553741511e+00
2.242160470190002891e-02 8.159181354973312378e+09 3.775012965637007056e+00
2.301683160295070821e-02 8.826390394279199600e+09 3.755347474879772385e+00
2.362786000743722845e-02 9.548159797274028778e+09 3.735663083021670161e+00
2.425510939826669432e-02 1.032895118409558296e+10 3.740222857349060792e+00
2.489901039436944255e-02 1.117359101948509407e+10 3.696311594024115355e+00
2.556000504632728945e-02 1.208730044759618568e+10 3.676684706379100387e+00
2.623854713984995202e-02 1.307572756651619720e+10 3.657104131046422957e+00
2.693510250730773298e-02 1.414498234200455475e+10 3.646718939709351126e+00
2.765014934753448270e-02 1.530167437626787376e+10 3.618071102211713352e+00
2.838417855412050592e-02 1.655295376523966408e+10 3.598574423713687853e+00
2.913769405242052843e-02 1.790655529692377853e+10 3.579060136681087467e+00
2.991121314550823293e-02 1.937084626401395416e+10 3.559525488699697426e+00
3.070526686931499341e-02 2.095487818634359741e+10 3.539985902274129348e+00
3.152040035719633898e-02 2.266844276288781357e+10 3.520456940960234871e+00
3.235717321417656833e-02 2.452213239918539429e+10 3.500949459173213540e+00
3.321615990112863903e-02 2.652740568433172226e+10 3.481475523303156905e+00
3.409795012915264878e-02 2.869665822228788757e+10 3.462042829895407792e+00
3.500314926442398694e-02 3.104329925535073471e+10 3.442656139403470039e+00
3.593237874378910762e-02 3.358183455343213272e+10 3.423313534516270629e+00
3.688627650139396363e-02 3.632795608152727509e+10 3.404002841578796179e+00
3.786549740663821412e-02 3.929863899965217590e+10 3.385305734516795617e+00
3.887071371375582646e-02 4.251224659485575867e+10 3.365949071861339625e+00
3.990261552333087408e-02 4.598864379394479370e+10 3.346305361874104545e+00
4.096191125606477024e-02 4.974931995859893799e+10 3.317601661539208546e+00
4.204932813912103801e-02 5.381752172193698120e+10 3.300944138220315072e+00
4.316561270538095407e-02 5.821839668766253662e+10 3.283218905843779289e+00
4.431153130595286149e-02 6.297914888006572723e+10 3.265006467316898586e+00
4.548787063628709215e-02 6.812920690579613495e+10 3.246535208328325428e+00
4.669543827625785570e-02 7.370040586690023804e+10 3.227903587764425986e+00
4.793506324458249312e-02 7.972718414961799622e+10 3.209169134380242205e+00
4.920759656795888060e-02 8.624679630538957214e+10 3.190367474994468822e+00
5.051391186531204586e-02 9.329954333999900818e+10 3.171522109598249983e+00
5.185490594755046145e-02 1.009290218343843842e+11 3.152964658024627109e+00
5.323149943324413658e-02 1.091823934370580444e+11 3.134031758102396203e+00
5.464463738064739839e-02 1.181106763940059662e+11 3.115192614935385684e+00
5.609528993649968293e-02 1.277690609181566772e+11 3.096331363479576826e+00
5.758445300205011080e-02 1.382172503478786926e+11 3.077500100474956923e+00
5.911314891676328065e-02 1.495198302033805542e+11 3.058728097519165967e+00
6.068242716017512028e-02 1.617466674223337708e+11 3.039945156722001052e+00
6.229336507238097953e-02 1.749733422425964355e+11 3.021194865600607571e+00
6.394706859365076324e-02 1.892816154017242432e+11 3.002459463572941800e+00
6.564467302367840706e-02 2.047599335412607727e+11 2.983760211370685145e+00
6.738734380098709842e-02 2.215039759399660339e+11 2.965111063314982864e+00
6.917627730302584876e-02 2.396172459556223450e+11 2.946506158435201694e+00
7.101270166750553448e-02 2.592117108314055176e+11 2.927928829346565731e+00
7.289787763553975952e-02 2.804084938218015747e+11 2.909375249633024296e+00
7.483309941716793923e-02 3.033386229164337769e+11 2.890846084943017313e+00
7.681969557985575403e-02 3.281438407900477905e+11 2.872347612114535931e+00
7.885902996058268000e-02 3.549774809853616333e+11 2.853781791629250275e+00
8.095250260214265081e-02 3.840054157449072266e+11 2.835337482552026778e+00
8.310155071430057327e-02 4.154070813508864746e+11 2.816984304701141806e+00
8.530764966046505693e-02 4.493765873111923828e+11 2.798680040935557223e+00
8.757231397055401101e-02 4.861239162480230103e+11 2.780423609832589182e+00
8.989709838074887160e-02 5.258762219062067871e+11 2.762164570474445302e+00
9.228359890085155448e-02 5.688792333048909912e+11 2.743937093589789544e+00
9.473345390997593707e-02 6.153987737123441162e+11 2.725749941592728209e+00
9.724834528132737799e-02 6.657224038334407959e+11 2.707610343849095713e+00
9.982999953684129624e-02 7.201611993671834717e+11 2.689504774904638573e+00
1.024801890324739673e-01 7.790516739222397461e+11 2.671442252664763206e+00
1.052007331749597735e-01 8.427578591770216064e+11 2.653406709602820435e+00
1.079934996708691586e-01 9.116735551427998047e+11 2.635413402721399123e+00
