# Matter power spectrum P(k) at redshift z=1.03169
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       1.960861337125e+01 
       1.307253015860e-05       2.445942043091e+01 
       1.645734041311e-05       3.051020471830e+01 
       2.071856405662e-05       3.805779620236e+01 
       2.608312678676e-05       4.747239362992e+01 
       3.283671113090e-05       5.921574315841e+01 
       4.133897008243e-05       7.386367619143e+01 
       5.204267993417e-05       9.213422489921e+01 
       6.551785226700e-05       1.149225496979e+02 
       8.248208914511e-05       1.433442692666e+02 
       1.038387980426e-04       1.787890417387e+02 
       1.307253015860e-04       2.229864693155e+02 
       1.645734041311e-04       2.780865236878e+02 
       2.071856405662e-04       3.467563996150e+02 
       2.608312678676e-04       4.322947747261e+02 
       3.283671113090e-04       5.387621870931e+02 
       4.133897008243e-04       6.711220037852e+02 
       5.204267993417e-04       8.353798198965e+02 
       6.551785226700e-04       1.038701151179e+03 
       8.248208914511e-04       1.289480866381e+03 
       1.038387980426e-03       1.597330715804e+03 
       1.307253015860e-03       1.972913708784e+03 
       1.645734041311e-03       2.427384101488e+03 
       2.071856405662e-03       2.971455304051e+03 
       2.608312678676e-03       3.613570484183e+03 
       3.283671113090e-03       4.357389006677e+03 
       4.133897008243e-03       5.198352054502e+03 
       5.204267993417e-03       6.119051633066e+03 
       6.551785226700e-03       7.083758524950e+03 
       8.248208914511e-03       8.032124054281e+03 
       1.038387980426e-02       8.873706534091e+03 
       1.307253015860e-02       9.484618403424e+03 
       1.645734041309e-02       9.713562920257e+03 
       2.071856389740e-02       9.412960434808e+03 
       2.608300445243e-02       8.515873131094e+03 
       3.281964991556e-02       7.159557027008e+03 
       4.076731882098e-02       5.806590410621e+03 
       4.748610964640e-02       5.031734480320e+03 
       5.235556489500e-02       4.651501412835e+03 
       5.636819838611e-02       4.414619892278e+03 
       5.994952259956e-02       4.235905667871e+03 
       6.328896038018e-02       4.079679015247e+03 
       6.648665992189e-02       3.928232376820e+03 
       6.960262323712e-02       3.772102133789e+03 
       7.267623995969e-02       3.606656696861e+03 
       7.573525737584e-02       3.430764949443e+03 
       7.880036892493e-02       3.246172197142e+03 
       8.188776255393e-02       3.055849147864e+03 
       8.501063007773e-02       2.864695000922e+03 
       8.818010842318e-02       2.677895978476e+03 
       9.140589175815e-02       2.500824810193e+03 
       9.469664359045e-02       2.338105835608e+03 
       9.806028224808e-02       2.193402874061e+03 
       1.015041833512e-01       2.068932004516e+03 
       1.050353261720e-01       1.965031939817e+03 
       1.086604010236e-01       1.880405653312e+03 
       1.123858889329e-01       1.812040282347e+03 
       1.162181211904e-01       1.755280343078e+03 
       1.201633240441e-01       1.704391446602e+03 
       1.242276522951e-01       1.653298749713e+03 
       1.284172145558e-01       1.596331022253e+03 
       1.327380922745e-01       1.529407502361e+03 
       1.371963541906e-01       1.451178658066e+03 
       1.417980675894e-01       1.363242024232e+03 
       1.465493075383e-01       1.269895705562e+03 
       1.514561651563e-01       1.177368308711e+03 
       1.565247558934e-01       1.091973114935e+03 
       1.617612287437e-01       1.018723038719e+03 
       1.671717772872e-01       9.599563964302e+02 
       1.727626534338e-01       9.148646579620e+02 
       1.785401847321e-01       8.795521360187e+02 
       1.845107960933e-01       8.483895310946e+02 
       1.906810367808e-01       8.151001220203e+02 
       1.970576135147e-01       7.749463838438e+02 
       2.036474305566e-01       7.271257945804e+02 
       2.104576376707e-01       6.751165951856e+02 
       2.174956869163e-01       6.244449142772e+02 
       2.247693993211e-01       5.800648583536e+02 
       2.322870426350e-01       5.444661673388e+02 
       2.400574215756e-01       5.169292303541e+02 
       2.480899822819e-01       4.935736043877e+02 
       2.563949331083e-01       4.695997011561e+02 
       2.649833844501e-01       4.421315559781e+02 
