# Matter power spectrum P(k) at redshift z=1.26963
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       1.608345056106e+01 
       1.307253015860e-05       2.006220490906e+01 
       1.645734041311e-05       2.502520220040e+01 
       2.071856405662e-05       3.121591943890e+01 
       2.608312678676e-05       3.893800284668e+01 
       3.283671113090e-05       4.857019227858e+01 
       4.133897008243e-05       6.058480269933e+01 
       5.204267993417e-05       7.557079492185e+01 
       6.551785226700e-05       9.426242638040e+01 
       8.248208914511e-05       1.175748031242e+02 
       1.038387980426e-04       1.466478527173e+02 
       1.307253015860e-04       1.829004252583e+02 
       1.645734041311e-04       2.280963436861e+02 
       2.071856405662e-04       2.844239995414e+02 
       2.608312678676e-04       3.545903408910e+02 
       3.283671113090e-04       4.419282401936e+02 
       4.133897008243e-04       5.505126903449e+02 
       5.204267993417e-04       6.852755748561e+02 
       6.551785226700e-04       8.521016114473e+02 
       8.248208914511e-04       1.057882156554e+03 
       1.038387980426e-03       1.310499378528e+03 
       1.307253015860e-03       1.618690180251e+03 
       1.645734041311e-03       1.991601915498e+03 
       2.071856405662e-03       2.438031073690e+03 
       2.608312678676e-03       2.964901955529e+03 
       3.283671113090e-03       3.575219368335e+03 
       4.133897008243e-03       4.265241918055e+03 
       5.204267993417e-03       5.020686996581e+03 
       6.551785226700e-03       5.812284479949e+03 
       8.248208914511e-03       6.590412645170e+03 
       1.038387980426e-02       7.280920307177e+03 
       1.307253015860e-02       7.782182290153e+03 
       1.645734041309e-02       7.970034171153e+03 
       2.071856389740e-02       7.723374615389e+03 
       2.608300445243e-02       6.987309573530e+03 
       3.281964991556e-02       5.874444506913e+03 
       4.076731882098e-02       4.764342925411e+03 
       4.748610964640e-02       4.128558564240e+03 
       5.235556489500e-02       3.816587902450e+03 
       5.636819838611e-02       3.622241573954e+03 
       5.994952259956e-02       3.475578566777e+03 
       6.328896038018e-02       3.347419377677e+03 
       6.648665992189e-02       3.223147444032e+03 
       6.960262323712e-02       3.095027683939e+03 
       7.267623995969e-02       2.959286632099e+03 
       7.573525737584e-02       2.814972136655e+03 
       7.880036892493e-02       2.663501773880e+03 
       8.188776255393e-02       2.507367432146e+03 
       8.501063007773e-02       2.350518377565e+03 
       8.818010842318e-02       2.197232074161e+03 
       9.140589175815e-02       2.051939733015e+03 
       9.469664359045e-02       1.918423491779e+03 
       9.806028224808e-02       1.799713830309e+03 
       1.015041833512e-01       1.697571681731e+03 
       1.050353261720e-01       1.612319574005e+03 
       1.086604010236e-01       1.542881708953e+03 
       1.123858889329e-01       1.486789267942e+03 
       1.162181211904e-01       1.440215427982e+03 
       1.201633240441e-01       1.398471829824e+03 
       1.242276522951e-01       1.356551171299e+03 
       1.284172145558e-01       1.309805845343e+03 
       1.327380922745e-01       1.254893755081e+03 
       1.371963541906e-01       1.190705736140e+03 
       1.417980675894e-01       1.118547216494e+03 
       1.465493075383e-01       1.041964592231e+03 
       1.514561651563e-01       9.660387410889e+02 
       1.565247558934e-01       8.959720448609e+02 
       1.617612287437e-01       8.358708052550e+02 
       1.671717772872e-01       7.876524361904e+02 
       1.727626534338e-01       7.506519140909e+02 
       1.785401847321e-01       7.216799937658e+02 
       1.845107960933e-01       6.961138361257e+02 
       1.906810367808e-01       6.687934765791e+02 
       1.970576135147e-01       6.358510846585e+02 
       2.036474305566e-01       5.966171928707e+02 
       2.104576376707e-01       5.539362276254e+02 
       2.174956869163e-01       5.123654633896e+02 
       2.247693993211e-01       4.759484761014e+02 
       2.322870426350e-01       4.467377302468e+02 
       2.400574215756e-01       4.241431832166e+02 
       2.480899822819e-01       4.049845780549e+02 
       2.563949331083e-01       3.853125233306e+02 
       2.649833844501e-01       3.627748353826e+02 
       2.738675110412e-01       3.377771268865e+02 
       2.830607411522e-01       3.129993759812e+02 
       2.925779784269e-01       2.914497743968e+02 
       3.024358638260e-01       2.739689465468e+02 
       3.126530874568e-01       2.590208174352e+02 
       3.232507631655e-01       2.442241732662e+02 
       3.342528829678e-01       2.282226626952e+02 
       3.456868741616e-01       2.119132657396e+02 
       3.575842899774e-01       1.969880117261e+02 
