#  R_hMpc M_hMsun sigma
3.470349896112847297e-03 9.999999999999995530e+07 3.204825092016375443e+00
3.562477361639422926e-03 1.081774017548855692e+08 3.198103524758895144e+00
3.657050537298525347e-03 1.170235025043788701e+08 3.191012516585167269e+00
3.754134349418247057e-03 1.265929844518005997e+08 3.136575025005622130e+00
3.853795447927524202e-03 1.369450013839242160e+08 3.175566974460759084e+00
3.956102252112625450e-03 1.481435443303209543e+08 3.167178742395081681e+00
4.061124997588334146e-03 1.602578371241383255e+08 3.158349211292216463e+00
4.168935784516047093e-03 1.733627643094693422e+08 3.149084543991939711e+00
4.279608627101948344e-03 1.875393340404295921e+08 3.139397400812709460e+00
4.393219504409216943e-03 2.028751788333524466e+08 3.129316142252940747e+00
4.509846412519113133e-03 2.194650972674984634e+08 3.118878845864805793e+00
4.629569418076814533e-03 2.374116399828114808e+08 3.108118049843202613e+00
4.752470713258748897e-03 2.568257435970686674e+08 3.097059288372975061e+00
4.878634672199092144e-03 2.778274164609734416e+08 3.085730038064517178e+00
5.008147908914276428e-03 3.005464804902064800e+08 3.074154505723406317e+00
5.141099336765190056e-03 3.251233736600585580e+08 3.062340235058989446e+00
5.277580229497954092e-03 3.517100181232796311e+08 3.050283001292265261e+00
5.417684283905094614e-03 3.804707593174011707e+08 3.037978012573020692e+00
5.561507684150234117e-03 4.115833818666477203e+08 3.025413649444629094e+00
5.709149167800410020e-03 4.452402085582284927e+08 3.012570358307456786e+00
5.860710093611306085e-03 4.816492891863255501e+08 2.999437344150966300e+00
6.016294511112027857e-03 5.210356866126406193e+08 2.986014644851849198e+00
6.176009232037152179e-03 5.636428679932830334e+08 2.972308302307216099e+00
6.339963903655028953e-03 6.097342097718533278e+08 2.958343180755517388e+00
6.508271084042783518e-03 6.595946257418729067e+08 2.944161750391731669e+00
6.681046319359649349e-03 7.135323282424199581e+08 2.929813444355908292e+00
6.858408223171623408e-03 7.718807333737920523e+08 2.915360154869106601e+00
7.040478557882011608e-03 8.350005220103244781e+08 2.900865216420410508e+00
7.227382318323679992e-03 9.032818693504981995e+08 2.886384291420140080e+00
