#  R_hMpc M_hMsun sigma
5.779387584121040838e-02 4.974931995859894562e+10 5.576193584967767514e+00
5.932813130927491047e-02 5.381752172193701172e+10 5.542142178852071055e+00
6.090311669563997637e-02 5.821839668766254425e+10 5.508099869961143646e+00
6.251991325846591174e-02 6.297914888006575775e+10 5.474099402096738842e+00
6.417963096010033397e-02 6.812920690579614258e+10 5.440130041378423265e+00
6.588340922908920982e-02 7.370040586690028381e+10 5.406231576695934571e+00
6.763241774241660065e-02 7.972718414961802673e+10 5.372424761717203623e+00
6.942785722851062269e-02 8.624679630538961792e+10 5.338694013016995754e+00
7.127096029156715362e-02 9.329954333999903870e+10 5.305010668366224813e+00
7.316299225775646509e-02 1.009290218343843842e+11 5.271370736318278460e+00
7.510525204389426057e-02 1.091823934370580597e+11 5.237775008565600743e+00
7.709907304917351656e-02 1.181106763940059662e+11 5.204244592888110255e+00
7.914582407056899860e-02 1.277690609181567230e+11 5.170583930558122709e+00
8.124691024254285243e-02 1.382172503478787231e+11 5.137154038245139276e+00
8.340377400169710076e-02 1.495198302033806152e+11 5.103868910272786330e+00
8.561789607703430838e-02 1.617466674223338318e+11 5.070686875875564326e+00
8.789079650650681585e-02 1.749733422425965576e+11 5.037589402958151830e+00
9.022403568055262224e-02 1.892816154017243347e+11 5.004485179701528175e+00
9.261921541333376084e-02 2.047599335412607727e+11 4.971439260180702924e+00
9.507798004241274636e-02 2.215039759399660950e+11 4.938469366348272160e+00
9.760201755762271114e-02 2.396172459556223450e+11 4.905585036219124895e+00
1.001930607599049033e-01 2.592117108314055176e+11 4.872760231907348860e+00
1.028528884509107150e-01 2.804084938218016357e+11 4.840011645748904634e+00
1.055833266541834209e-01 3.033386229164339600e+11 4.807314994676590736e+00
1.083862498687588882e-01 3.281438407900477905e+11 4.774711197904905724e+00
1.112635823560459147e-01 3.549774809853616333e+11 4.742153023839665416e+00
1.142172994608691150e-01 3.840054157449074097e+11 4.709671216118409554e+00
1.172494289675813650e-01 4.154070813508866577e+11 4.677278679170466802e+00
1.203620524921776985e-01 4.493765873111924438e+11 4.644946403464325968e+00
1.235573069113650585e-01 4.861239162480230103e+11 4.612685037534983046e+00
1.268373858295696044e-01 5.258762219062068481e+11 4.580499066256252583e+00
1.302045410848893248e-01 5.688792333048912354e+11 4.548381819011285465e+00
1.336610842950242961e-01 6.153987737123441162e+11 4.516342877524722965e+00
1.372093884442477374e-01 6.657224038334411621e+11 4.484375834724003695e+00
1.408518895125056847e-01 7.201611993671835938e+11 4.452484889749444008e+00
1.445910881477646404e-01 7.790516739222401123e+11 4.420670415338483927e+00
1.484295513827553203e-01 8.427578591770216064e+11 4.388932001898192325e+00
1.523699143972907510e-01 9.116735551428002930e+11 4.357267740628318897e+00
1.564148823273679989e-01 9.862247644398741455e+11 4.325682549462444015e+00
1.605672321222974541e-01 1.066872325634295044e+12 4.294176039618302632e+00
1.648298144511323449e-01 1.154114761913103271e+12 4.262745263460090861e+00
1.692055556597082955e-01 1.248491362707177490e+12 4.231390140826309931e+00
1.736974597796372977e-01 1.350585517310787354e+12 4.200116361016489108e+00
1.783086105906337704e-01 1.461028321104590576e+12 4.168918545914202411e+00
1.830421737375890479e-01 1.580502476673970703e+12 4.137804127901632434e+00
1.879013989038490207e-01 1.709746513937519287e+12 4.106770029080012208e+00
1.928896220421842389e-01 1.849559355372338867e+12 4.075815600858691212e+00
1.980102676649872495e-01 2.000805254556204346e+12 4.044943281700671633e+00
2.032668511952668011e-01 2.164419138554127686e+12 4.014152626930362011e+00
2.086629813800538469e-01 2.341412387173329590e+12 3.983439444213965785e+00
2.142023627678774078e-01 2.532879084811145996e+12 3.952801040004558786e+00
2.198887982520090489e-01 2.740002783541623535e+12 3.922262022883412858e+00
2.257261916812227931e-01 2.964063819246867188e+12 3.891798698988420568e+00
2.317185505398640377e-01 3.206447226017884277e+12 3.861410525444163966e+00
2.378699886990655044e-01 3.468651297747753418e+12 3.831116352911878575e+00
2.441847292409993209e-01 3.752296849840634766e+12 3.800907063191121704e+00
2.506671073581062670e-01 4.059137238288019531e+12 3.770791637219305770e+00
2.573215733292888441e-01 4.391069198044994141e+12 3.740751693020548885e+00
2.641526955751152261e-01 4.750144567704160156e+12 3.710797878097671809e+00
2.711651637941288051e-01 5.138582972943203125e+12 3.680929290111039975e+00
2.783637921824171357e-01 5.558785547148908203e+12 3.651147773057126233e+00
2.857535227386521215e-01 6.013349774031782227e+12 3.621453400243908494e+00
2.933394286568680731e-01 6.505085543980866211e+12 3.591848261302941658e+00
3.011267178093079422e-01 7.037032523411157227e+12 3.562325184502898701e+00
3.091207363217298165e-01 7.612478944472444336e+12 3.532899136097792159e+00
3.173269722436259377e-01 8.234981931268028320e+12 3.503562199859052928e+00
3.257510593158754464e-01 8.908389488230042969e+12 3.474314407985950481e+00
3.343987808384179528e-01 9.636864286572599609e+12 3.445164734115304661e+00
3.432760736406012536e-01 1.042490939585872852e+13 3.416097695344769924e+00
3.523890321569300155e-01 1.127739611974090430e+13 3.387120321694649494e+00
3.617439126110146841e-01 1.219959410794199805e+13 3.358237305898170710e+00
3.713471373105898810e-01 1.319720393061374805e+13 3.329446679979698231e+00
3.812052990565548694e-01 1.427639231643157031e+13 3.300749798053601136e+00
3.913251656690593383e-01 1.544383027224980664e+13 3.272146672065781470e+00
4.017136846337431844e-01 1.670673431995428906e+13 3.243629919070826428e+00
4.123779878713221270e-01 1.807291110541827734e+13 3.215223227400197281e+00
4.233253966337895968e-01 1.955080565531167578e+13 3.186889908566579610e+00
4.345634265305981514e-01 2.114955358006337891e+13 3.158663236197234436e+00
4.460997926882732112e-01 2.287903754566991797e+13 3.130521413802297648e+00
4.579424150469971755e-01 2.474994836343047266e+13 3.102488729529908174e+00
4.700994237978018964e-01 2.677385107523487891e+13 3.074553148626603782e+00
4.825791649641049119e-01 2.896325644291159375e+13 3.046714510589679126e+00
4.953902061314153782e-01 3.133169828354621875e+13 3.018998266123814389e+00
5.085413423291500479e-01 3.389381712882035938e+13 2.991349577398961568e+00
5.220416020685915148e-01 3.666545072551023438e+13 2.963816614435969665e+00
5.359002535411366841e-01 3.966373193657475781e+13 2.936374009428335707e+00
5.501268109810922846e-01 4.290719464800930469e+13 2.909031728090951674e+00
5.647310411973809341e-01 4.641588833612779688e+13 2.881790624808832302e+00
5.797229702786454997e-01 5.021150200347196875e+13 2.854652014206608523e+00
5.951128904763558491e-01 5.431749824945825781e+13 2.827626211723167415e+00
6.109113672706387721e-01 5.875925830451941406e+13 2.800692132311526805e+00
6.271292466236858543e-01 6.356423892427084375e+13 2.773862494941734536e+00
6.437776624257192104e-01 6.876214211354377344e+13 2.747136542881853938e+00
6.608680441386231008e-01 7.438509872943367188e+13 2.720508047321106293e+00
6.784121246424914542e-01 8.046786709830762500e+13 2.693991061184767943e+00
