#  R_hMpc M_hMsun sigma
7.549078722359154128e-03 1.000000000000002384e+08 9.131984856112568494e+00
7.749484304093306151e-03 1.081774017548858970e+08 9.086595038025402360e+00
7.955210057820258016e-03 1.170235025043792278e+08 9.041690948120384874e+00
8.166397218279041262e-03 1.265929844518010020e+08 8.997357434957521605e+00
8.383190769570808554e-03 1.369450013839245737e+08 8.953714967399475810e+00
8.605739544693281201e-03 1.481435443303213716e+08 8.910910768345353006e+00
8.834196327717511871e-03 1.602578371241387725e+08 8.869132712666601748e+00
9.068717958677093016e-03 1.733627643094699085e+08 8.828577458174223125e+00
9.309465441241905267e-03 1.875393340404300988e+08 8.789430369232354323e+00
9.556604053250315409e-03 2.028751788333530426e+08 8.751826982254884868e+00
9.810303460175570645e-03 2.194650972674989998e+08 8.715843033353673164e+00
1.007073783160448641e-02 2.374116399828125536e+08 8.681488530600701026e+00
1.033808596080826661e-02 2.568257435970693827e+08 8.648737422843158384e+00
1.061253138748756257e-02 2.778274164609742761e+08 8.617545842290422087e+00
1.089426252377603127e-02 3.005464804902068973e+08 8.587877344815872505e+00
1.118347278358897481e-02 3.251233736600595117e+08 8.559689891206369694e+00
1.148036071540574528e-02 3.517100181232804656e+08 8.532910584163930778e+00
1.178513013857712677e-02 3.804707593174016476e+08 8.507402645494400062e+00
1.209799028325132288e-02 4.115833818666488528e+08 8.482947002774581691e+00
1.241915593401452141e-02 4.452402085582297444e+08 8.459262208564673813e+00
1.274884757734467272e-02 4.816492891863260269e+08 8.436043245307580207e+00
1.308729155297979480e-02 5.210356866126419902e+08 8.412996388250510549e+00
1.343472020930459344e-02 5.636428679932845831e+08 8.389846951874689651e+00
1.379137206286213529e-02 6.097342097718541622e+08 8.366315247720613968e+00
1.415749196210014903e-02 6.595946257418748140e+08 8.342091012600590716e+00
1.453333125546422619e-02 7.135323282424221039e+08 8.316842235585022891e+00
1.491914796395341428e-02 7.718807333737930059e+08 8.290261573250875315e+00
1.531520695825670970e-02 8.350005220103255510e+08 8.262113848250706383e+00
1.572178014059188306e-02 9.032818693505007029e+08 8.232243269557471876e+00
1.613914663137171537e-02 9.771468567863320112e+08 8.200541478186009314e+00
1.656759296082553970e-02 1.057052081000985503e+09 8.166924146573984800e+00
1.700741326570788525e-02 1.143491476422813654e+09 8.131353905046069031e+00
1.745890949122905211e-02 1.236999368482780218e+09 8.093883172147295468e+00
1.792239159834637871e-02 1.338153776549013376e+09 8.054654323182703024e+00
1.839817777655851361e-02 1.447579986955598593e+09 8.013846827056214650e+00
1.888659466234868939e-02 1.565954418212278128e+09 7.971636291072195846e+00
1.938797756342700712e-02 1.694008802287875175e+09 7.928209808812030523e+00
1.990267068892576444e-02 1.832534707814078093e+09 7.883784673979448598e+00
2.043102738570570440e-02 1.982388433169754744e+09 7.838565155569502174e+00
2.097341038093549631e-02 2.144496299692424059e+09 7.680326034826959081e+00
2.153019203111106519e-02 2.319860377736927032e+09 7.643275990149660970e+00
2.210175457768554300e-02 2.509564680976882458e+09 7.618904670178417327e+00
2.268849040948545462e-02 2.714781867239070892e+09 7.579356319452703161e+00
2.329080233209335909e-02 2.936780487291990757e+09 7.539759060259784818e+00
2.390910384438168709e-02 3.176932826396944523e+09 7.500137245492092042e+00
2.454381942238775122e-02 3.436723387094261169e+09 7.460531967737749071e+00
2.519538481072487734e-02 3.717758065661065578e+09 7.420987828585096757e+00
2.586424732172955612e-02 4.021774078964835644e+09 7.381528954484055660e+00
2.655086614255001629e-02 4.350650703075634003e+09 7.358602551360840849e+00
2.725571265038725238e-02 4.706420890017878532e+09 7.302894165314304686e+00
2.797927073610459794e-02 5.091283834470503807e+09 7.263660095796684146e+00
2.872203713642822176e-02 5.507618568096702576e+09 7.224410087658829305e+00
2.948452177496657320e-02 5.957998665536631584e+09 7.185117266369903888e+00
3.026724811228298159e-02 6.445208152968283653e+09 7.145794277095903979e+00
3.107075350526137050e-02 6.972258717575144768e+09 7.106477667315641789e+00
3.189558957601230232e-02 7.542408324301285744e+09 7.067192301348005579e+00
3.274232259057236610e-02 8.159181354973330498e+09 7.027961027861147514e+00
3.361153384765676322e-02 8.826390394279216766e+09 6.988805923645355911e+00
3.450382007773221404e-02 9.548159797274045944e+09 6.949738607650083111e+00
3.541979385268410191e-02 1.032895118409560204e+10 6.910764510864288113e+00
3.636008400635899057e-02 1.117359101948512077e+10 6.871870838809852167e+00
3.732533606627123218e-02 1.208730044759622002e+10 6.834229834948845728e+00
3.831621269677032426e-02 1.307572756651622772e+10 6.795273882919555142e+00
3.933339415397283517e-02 1.414498234200459099e+10 6.756445673985277622e+00
4.037757875277140501e-02 1.530167437626790619e+10 6.716853966892182726e+00
4.144948334624168340e-02 1.655295376523969460e+10 6.661940828947761517e+00
4.254984381777584396e-02 1.790655529692381668e+10 6.627219346859031468e+00
4.367941558628081478e-02 1.937084626401399612e+10 6.591018442048980575e+00
4.483897412478823202e-02 2.095487818634364700e+10 6.554095515425417240e+00
4.602931549283168638e-02 2.266844276288784790e+10 6.516758746961489379e+00
4.725125688295708087e-02 2.452213239918545151e+10 6.479157602869798360e+00
4.850563718174132066e-02 2.652740568433176804e+10 6.441386780398674183e+00
4.979331754570429786e-02 2.869665822228794861e+10 6.403502915560972397e+00
5.111518199250947303e-02 3.104329925535081100e+10 6.365551652087106937e+00
5.247213800785943683e-02 3.358183455343220139e+10 6.328144314598596054e+00
5.386511716850243825e-02 3.632795608152736664e+10 6.290200611838462130e+00
5.529507578177789151e-02 3.929863899965225220e+10 6.252178415372664055e+00
5.676299554214008641e-02 4.251224659485585785e+10 6.214263760432374717e+00
5.826988420511068634e-02 4.598864379394489288e+10 6.176422012318625754e+00
5.981677627912226902e-02 4.974931995859903717e+10 6.138625417596342615e+00
6.140473373572866156e-02 5.381752172193710327e+10 6.100853824024563998e+00
6.303484673866917298e-02 5.821839668766266632e+10 6.063128661106156336e+00
6.470823439228715057e-02 6.297914888006583405e+10 6.025450740440812858e+00
6.642604550981691391e-02 6.812920690579627228e+10 5.987862775764089207e+00
6.818945940206648515e-02 7.370040586690039062e+10 5.950375521981199789e+00
6.999968668703747399e-02 7.972718414961814880e+10 5.912961144372681943e+00
