# Matter power spectrum P(k) at redshift z=1.96121
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039457253733e+03       5.317116850566e-08 
       1.308599151198e+03       2.664645309108e-08 
       1.647428725296e+03       1.365491667172e-08 
       2.073989886394e+03       6.697423816380e-09 
       2.610998571786e+03       3.282266433436e-09 
       3.287052452180e+03       1.743849686467e-09 
       4.138153861949e+03       8.590434441502e-10 
       5.209627054722e+03       4.518102860343e-10 
       6.558531885160e+03       2.352773386823e-10 
       8.256702454290e+03       1.208704524159e-10 
       1.039457253733e+04       5.997792926729e-11 
       1.308599151198e+04       3.265823973803e-11 
       1.647428725296e+04       1.635183216512e-11 
       2.073989886394e+04       1.091490260004e-11 
       2.610998571786e+04       1.673119352096e-12 
       3.287052452180e+04       2.490493340194e-13 
       4.138153861949e+04       2.442443982679e-09 
       5.209627054722e+04       2.794405605475e-07 
       6.558531885160e+04       4.601992034609e-04 
       8.256702454290e+04       4.405933875057e+00 
       1.039457253733e+05       3.476535070938e+05 
