#  R_hMpc M_hMsun sigma
3.594933959630626074e-03 1.000000000000001043e+08 3.319575644397678271e+00
3.690368761408727594e-03 1.081774017548857182e+08 3.270914640027556608e+00
3.788337073257581553e-03 1.170235025043790787e+08 3.304116132307667986e+00
3.888906152332435862e-03 1.265929844518007636e+08 3.295705414402030353e+00
3.992145041265911590e-03 1.369450013839243948e+08 3.286832628342156504e+00
4.098124615567124915e-03 1.481435443303210735e+08 3.277503541786300101e+00
4.206917632279118940e-03 1.602578371241385341e+08 3.267725604504616577e+00
4.318598779927964974e-03 1.733627643094695508e+08 3.257517046217508927e+00
4.433244729797906382e-03 1.875393340404298007e+08 3.246912500799250090e+00
4.550934188567700052e-03 2.028751788333527744e+08 3.235951004574570522e+00
4.671747952344259408e-03 2.194650972674987018e+08 3.224662959284776420e+00
4.795768962130769753e-03 2.374116399828118086e+08 3.213074851024792178e+00
4.923082360767319296e-03 2.568257435970689952e+08 3.201215710775044965e+00
5.053775551383086692e-03 2.778274164609737992e+08 3.189105677350632995e+00
5.187938257400311580e-03 3.005464804902068973e+08 3.176746672997684762e+00
5.325662584131165417e-03 3.251233736600589752e+08 3.164133597344287452e+00
5.467043082009861998e-03 3.517100181232799888e+08 3.151260368605529827e+00
5.612176811503341925e-03 3.804707593174017072e+08 3.138110853693055535e+00
5.761163409745188868e-03 4.115833818666483760e+08 3.124665980071083204e+00
5.914105158938483264e-03 4.452402085582290292e+08 3.110919470892253624e+00
6.071107056574493420e-03 4.816492891863260865e+08 3.096873081485442381e+00
6.232276887515513474e-03 5.210356866126412749e+08 3.082538155556375337e+00
6.397725297991293039e-03 5.636428679932836294e+08 3.067948511182624127e+00
6.567565871559793989e-03 6.097342097718541622e+08 3.053150976185565302e+00
6.741915207084531181e-03 6.595946257418738604e+08 3.038200850350764703e+00
6.920892998781988208e-03 7.135323282424211502e+08 3.023165387863807396e+00
7.104622118393986996e-03 7.718807333737930059e+08 3.008107148367231698e+00
7.293228699541554581e-03 8.350005220103229284e+08 2.993082981787183794e+00
7.486842224318134877e-03 9.032818693504992723e+08 2.978142159061871297e+00
7.685595612181520681e-03 9.771468567863305807e+08 2.963319019509217167e+00
7.889625311205680086e-03 1.057052081000982642e+09 2.948645070454982697e+00
8.099071391755035751e-03 1.143491476422811985e+09 2.934147471665104145e+00
8.314077642645455526e-03 1.236999368482778072e+09 2.919861218057100860e+00
8.534791669858104654e-03 1.338153776549009085e+09 2.905831702012207085e+00
8.761364997873841501e-03 1.447579986955595732e+09 2.892115726623163408e+00
8.993953173697690623e-03 1.565954418212276220e+09 2.878778115391276593e+00
9.232715873644903662e-03 1.694008802287870407e+09 2.865880750898614160e+00
9.477817012961901877e-03 1.832534707814075232e+09 2.853474516010050976e+00
9.729424858357225980e-03 1.982388433169751883e+09 2.841589852578284781e+00
9.987712143519945213e-03 2.144496299692424774e+09 2.830236736370373762e+00
1.025285618770468629e-02 2.319860377736922741e+09 2.819409209442993891e+00
1.052503901746479689e-02 2.509564680976878166e+09 2.809093887045052362e+00
1.080444749161705263e-02 2.714781867239066601e+09 2.799278325062997119e+00
1.109127342952393770e-02 2.936780487291987896e+09 2.789949583070728156e+00
1.138571374278134728e-02 3.176932826396939754e+09 2.781088919930562398e+00
1.168797057040222957e-02 3.436723387094255924e+09 2.772659000491038750e+00
1.199825141758897873e-02 3.717758065661060810e+09 2.764596838429965064e+00
1.231676929818979055e-02 4.021774078964828968e+09 2.756816347898405350e+00
1.264374288093680389e-02 4.350650703075629234e+09 2.749218824231740133e+00
1.297939663956647512e-02 4.706420890017870903e+09 2.741706660126316919e+00
1.332396100692516232e-02 5.091283834470495224e+09 2.734189160357393789e+00
1.367767253316574776e-02 5.507618568096693039e+09 2.726576818396383661e+00
1.404077404814393568e-02 5.957998665536622047e+09 2.718772007885703168e+00
1.441351482812572131e-02 6.445208152968273163e+09 2.710667732135227492e+00
1.479615076692033723e-02 6.972258717575133324e+09 2.702159474783760285e+00
1.518894455155637459e-02 7.542408324301277161e+09 2.693162180132232741e+00
1.559216584262155744e-02 8.159181354973315239e+09 2.683617649979736619e+00
1.600609145938998792e-02 8.826390394279203415e+09 2.673487040948900439e+00
1.643100556986393235e-02 9.548159797274034500e+09 2.662740387531294939e+00
1.686719988586075220e-02 1.032895118409558678e+10 2.651359092808393214e+00
1.731497386327872368e-02 1.117359101948509789e+10 2.639349990016410796e+00
1.777463490767932155e-02 1.208730044759619713e+10 2.626751489124325989e+00
1.824649858532717550e-02 1.307572756651620483e+10 2.613620365731426531e+00
1.873088883983244773e-02 1.414498234200457001e+10 2.600014472749963446e+00
1.922813821454438452e-02 1.530167437626788902e+10 2.585992326843482125e+00
1.973858808084888103e-02 1.655295376523967171e+10 2.571622029398304310e+00
2.026258887252655946e-02 1.790655529692378998e+10 2.556973975154064771e+00
2.080050032633234611e-02 1.937084626401396561e+10 2.504636135507953831e+00
2.135269172896183884e-02 2.095487818634360504e+10 2.492495621095271563e+00
2.191954217057378446e-02 2.266844276288782120e+10 2.480584442788879240e+00
2.250144080504281469e-02 2.452213239918540955e+10 2.471967223105358435e+00
2.309878711712125970e-02 2.652740568433173752e+10 2.459078563692006725e+00
2.371199119669315306e-02 2.869665822228790665e+10 2.446178716049864033e+00
2.434147402030891263e-02 3.104329925535076904e+10 2.448715537368580719e+00
