#  R_hMpc M_hMsun sigma
5.864861706158426731e-03 1.000000000000002384e+08 5.660756812491468892e+00
6.020556336621323522e-03 1.081774017548858523e+08 5.635406774031002541e+00
6.180384196334876012e-03 1.170235025043792129e+08 5.609522040766875328e+00
6.344455010239434013e-03 1.265929844518009424e+08 5.583150728567291665e+00
6.512881416146067137e-03 1.369450013839246333e+08 5.556373480060002201e+00
6.685779042064631493e-03 1.481435443303213716e+08 5.529284071774119624e+00
6.863266585584676047e-03 1.602578371241388619e+08 5.501999889126465426e+00
7.045465895363607796e-03 1.733627643094698787e+08 5.474640068884191635e+00
7.232502054778192427e-03 1.875393340404301584e+08 5.447309486236124876e+00
7.424503467796748218e-03 2.028751788333530724e+08 5.420105082683687847e+00
7.621601947130931393e-03 2.194650972674989700e+08 5.393096049840663930e+00
7.823932804727755375e-03 2.374116399828122556e+08 5.366340339830937722e+00
8.031634944663895020e-03 2.568257435970694125e+08 5.339889539049798906e+00
8.244850958506005217e-03 2.778274164609742761e+08 5.313799539149129281e+00
8.463727223202634209e-03 3.005464804902073741e+08 5.288148440579768739e+00
8.688414001574837689e-03 3.251233736600594521e+08 5.263030988884820793e+00
8.919065545474570353e-03 3.517100181232805848e+08 5.238563996147657775e+00
9.155840201681529275e-03 3.804707593174023032e+08 5.214861605099145869e+00
9.398900520611336989e-03 4.115833818666488528e+08 5.192026453426048960e+00
9.648413367909596666e-03 4.452402085582298636e+08 5.170124759809493931e+00
9.904550039008348447e-03 4.816492891863270402e+08 5.149187752669091900e+00
1.016748637672375277e-02 5.210356866126422286e+08 5.129210693582483493e+00
1.043740289197564453e-02 5.636428679932847023e+08 5.110173056272910408e+00
1.071448488771172512e-02 6.097342097718542814e+08 5.092050108204729142e+00
1.099892258612170624e-02 6.595946257418749332e+08 5.074819594352589114e+00
1.129091125922853170e-02 7.135323282424221039e+08 5.058453454109953285e+00
1.159065136294640599e-02 7.718807333737931252e+08 5.042895846083806255e+00
1.189834867469772781e-02 8.350005220103257895e+08 5.028048516825720959e+00
1.221421443468325048e-02 9.032818693505004644e+08 5.013766644516656434e+00
1.253846549090265224e-02 9.771468567863320112e+08 4.999874953821822565e+00
1.287132444802485676e-02 1.057052081000985980e+09 4.986193890420630659e+00
1.321301982021051875e-02 1.143491476422813654e+09 4.972554806281696216e+00
1.356378618799144141e-02 1.236999368482780218e+09 4.958795973408089530e+00
1.392386435931464855e-02 1.338153776549013138e+09 4.944746186793789633e+00
1.429350153486178346e-02 1.447579986955597878e+09 4.930215395220859165e+00
1.467295147775717068e-02 1.565954418212278128e+09 4.915008739606425259e+00
1.506247468778112303e-02 1.694008802287875414e+09 4.898957497030544950e+00
1.546233858020815838e-02 1.832534707814078093e+09 4.881940685670829616e+00
1.587281766939278513e-02 1.982388433169754267e+09 4.863879049051545778e+00
1.629419375722892388e-02 2.144496299692425489e+09 4.844714021127876080e+00
1.672675612661244163e-02 2.319860377736927032e+09 4.824402915787258550e+00
1.717080174003949092e-02 2.509564680976883411e+09 4.802940691264003803e+00
1.762663544347700673e-02 2.714781867239072323e+09 4.780379857768378926e+00
1.809457017564546771e-02 2.936780487291992188e+09 4.756816969967397668e+00
1.857492718285739045e-02 3.176932826396945477e+09 4.732358432079461608e+00
1.906803623955916419e-02 3.436723387094260693e+09 4.707108279686338825e+00
1.957423587472768844e-02 3.717758065661066055e+09 4.681184042167858550e+00
2.009387360427707450e-02 4.021774078964834690e+09 4.654716265003061793e+00
