# Matter power spectrum P(k) at redshift z=0.117194
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       4.806016585983e+01 
       1.307253015860e-05       5.994938750149e+01 
       1.645734041311e-05       7.477965333728e+01 
       2.071856405662e-05       9.327854069672e+01 
       2.608312678676e-05       1.163533878146e+02 
       3.283671113090e-05       1.451358323021e+02 
       4.133897008243e-05       1.810371655023e+02 
       5.204267993417e-05       2.258170827508e+02 
       6.551785226700e-05       2.816692610589e+02 
       8.248208914511e-05       3.513273934431e+02 
       1.038387980426e-04       4.381962015863e+02 
       1.307253015860e-04       5.465123880093e+02 
       1.645734041311e-04       6.815406744232e+02 
       2.071856405662e-04       8.498092565719e+02 
       2.608312678676e-04       1.059386639046e+03 
       3.283671113090e-04       1.320196523847e+03 
       4.133897008243e-04       1.644358456621e+03 
       5.204267993417e-04       2.046529668032e+03 
       6.551785226700e-04       2.544210309623e+03 
       8.248208914511e-04       3.157955852170e+03 
       1.038387980426e-03       3.911379518364e+03 
       1.307253015860e-03       4.830672976724e+03 
       1.645734041311e-03       5.943120569524e+03 
       2.071856405662e-03       7.274939262651e+03 
       2.608312678676e-03       8.846806613476e+03 
       3.283671113090e-03       1.066767276763e+04 
       4.133897008243e-03       1.272637724220e+04 
       5.204267993417e-03       1.498020700262e+04 
       6.551785226700e-03       1.734100744455e+04 
       8.248208914511e-03       1.966267233908e+04 
       1.038387980426e-02       2.172328382922e+04 
       1.307253015860e-02       2.321831106794e+04 
       1.645734041309e-02       2.377899817375e+04 
       2.071856389740e-02       2.304400038783e+04 
       2.608300445243e-02       2.084762201607e+04 
       3.281964991556e-02       1.752732332537e+04 
       4.076731882098e-02       1.421514172180e+04 
       4.748610964640e-02       1.231800231682e+04 
       5.235556489500e-02       1.138720497848e+04 
       5.636819838611e-02       1.080735694373e+04 
       5.994952259956e-02       1.036981621931e+04 
       6.328896038018e-02       9.987363860074e+03 
       6.648665992189e-02       9.616289155192e+03 
       6.960262323712e-02       9.234187373816e+03 
       7.267623995969e-02       8.829187519610e+03 
       7.573525737584e-02       8.398909611142e+03 
       7.880036892493e-02       7.946712529183e+03 
       8.188776255393e-02       7.480934316521e+03 
       8.501063007773e-02       7.013032619567e+03 
