#  R_hMpc M_hMsun sigma
6.474557104850352067e-03 1.000000000000002533e+08 6.536009474604115077e+00
6.646437334318011474e-03 1.081774017548858672e+08 6.504250322167713705e+00
6.822880472538097978e-03 1.170235025043792129e+08 6.472229319481564325e+00
7.004007651163449144e-03 1.265929844518009871e+08 6.440089792044306094e+00
7.189943217531898599e-03 1.369450013839246333e+08 6.407957294055886877e+00
7.380814820033169271e-03 1.481435443303213418e+08 6.375949638066609637e+00
7.576753495742004178e-03 1.602578371241388023e+08 6.344155724768538285e+00
7.777893760377623845e-03 1.733627643094699085e+08 6.312644161672706922e+00
7.984373700651411360e-03 1.875393340404300988e+08 6.281478278001386251e+00
8.196335069066159815e-03 2.028751788333530128e+08 6.250718962505331433e+00
8.413923381231874429e-03 2.194650972674990594e+08 6.220453396912165367e+00
8.637288015765106144e-03 2.374116399828128815e+08 6.190786966123469348e+00
8.866582316840272357e-03 2.568257435970693529e+08 6.161853492773888163e+00
9.101963699463451810e-03 2.778274164609742165e+08 6.133788656581844023e+00
9.343593757540789510e-03 3.005464804902064204e+08 6.106718856840118725e+00
9.591638374815938256e-03 3.251233736600595117e+08 6.080731846604630952e+00
9.846267838752418775e-03 3.517100181232805848e+08 6.055874457117274012e+00
1.010765695743930798e-02 3.804707593174016476e+08 6.032148244669057746e+00
1.037598517960040823e-02 4.115833818666488528e+08 6.009532798276487675e+00
1.065143671778928658e-02 4.452402085582298636e+08 5.987997780598497854e+00
1.093420067485475697e-02 4.816492891863262057e+08 5.967517773191466368e+00
1.122447117376371324e-02 5.210356866126421094e+08 5.948062515737268185e+00
1.152244749087030611e-02 5.636428679932845831e+08 5.929575817314158392e+00
1.182833419272303309e-02 6.097342097718541622e+08 5.911955116456451442e+00
1.214234127650368547e-02 6.595946257418748140e+08 5.895040927112818352e+00
1.246468431419449699e-02 7.135323282424219847e+08 5.878633106149726117e+00
1.279558460057248978e-02 7.718807333737930059e+08 5.862519765183573206e+00
1.313526930513269145e-02 8.350005220103254318e+08 5.846498971999052330e+00
1.348397162804437603e-02 9.032818693505004644e+08 5.830380372791060140e+00
1.384193096024757125e-02 9.771468567863321304e+08 5.813967266972746906e+00
1.420939304779955149e-02 1.057052081000985742e+09 5.797040906983574438e+00
1.458661016058434255e-02 1.143491476422813654e+09 5.779370573861282168e+00
1.497384126550089720e-02 1.236999368482780218e+09 5.760747960879861296e+00
1.537135220424889169e-02 1.338153776549013138e+09 5.741017762577905970e+00
1.577941587583427466e-02 1.447579986955598116e+09 5.720077928761269526e+00
1.619831242391973902e-02 1.565954418212278366e+09 5.697855847002649021e+00
1.662832942914877279e-02 1.694008802287875175e+09 5.674295765509964617e+00
1.706976210657542778e-02 1.832534707814077616e+09 5.649378876169609320e+00
1.752291350833518752e-02 1.982388433169754267e+09 5.623151402703851609e+00
1.798809473169612691e-02 2.144496299692424059e+09 5.595718559399007752e+00
1.846562513263330998e-02 2.319860377736926556e+09 5.567205600862293657e+00
1.895583254507286070e-02 2.509564680976881981e+09 5.537734358762847364e+00
1.945905350595631550e-02 2.714781867239071369e+09 5.507437795528044688e+00
1.997563348627984584e-02 2.936780487291990757e+09 5.476468514986772895e+00
2.050592712826680708e-02 3.176932826396944523e+09 5.444963278476784296e+00
2.105029848883649760e-02 3.436723387094261169e+09 5.335755253615233507e+00
2.160912128953639336e-02 3.717758065661066055e+09 5.310067909550727272e+00
2.218277917310924191e-02 4.021774078964835644e+09 5.292845653707893838e+00
2.277166596687125316e-02 4.350650703075634956e+09 5.265346346776682118e+00
2.337618595308228048e-02 4.706420890017877579e+09 5.237814513265620420e+00
2.399675414649345487e-02 5.091283834470503807e+09 5.210268960125171489e+00
2.463379657926286284e-02 5.507618568096703529e+09 5.182739546266894592e+00
2.528775059343493087e-02 5.957998665536629677e+09 5.155255982530721148e+00
2.595906514118437314e-02 6.445208152968284607e+09 5.127833155133380671e+00
2.664820109303043041e-02 6.972258717575144768e+09 5.112260841826818947e+00
2.735563155423356360e-02 7.542408324301285744e+09 5.073181832434621619e+00
2.808184218959145634e-02 8.159181354973328590e+09 5.045906763339739420e+00
2.882733155685731838e-02 8.826390394279216766e+09 5.018616402333153204e+00
2.959261144900947674e-02 9.548159797274049759e+09 4.991295794289015930e+00
3.037820724560728880e-02 1.032895118409560394e+10 4.963957496907227984e+00
3.118465827347443459e-02 1.117359101948511696e+10 4.936626640167456337e+00
3.201251817695722340e-02 1.208730044759621429e+10 4.909319564192030860e+00
3.286235529801233984e-02 1.307572756651623344e+10 4.882052541394481082e+00
3.373475306638458460e-02 1.414498234200459099e+10 4.854839880660464679e+00
3.463031040014277057e-02 1.530167437626790810e+10 4.827689253518033574e+00
3.554964211684871062e-02 1.655295376523970032e+10 4.800603021948139038e+00
3.649337935564141155e-02 1.790655529692381668e+10 4.773570261870708542e+00
3.746217001052634665e-02 1.937084626401400375e+10 4.747405095850563583e+00
3.845667917516741585e-02 2.095487818634364700e+10 4.720323027667990168e+00
3.947758959948665519e-02 2.266844276288784790e+10 4.693329305998285683e+00
4.052560215838531960e-02 2.452213239918545151e+10 4.650299339194606141e+00
4.160143633290824816e-02 2.652740568433178329e+10 4.628126519101573244e+00
4.270583070418158128e-02 2.869665822228795242e+10 4.603790555097771353e+00
4.383954346046304434e-02 3.104329925535081100e+10 4.578532198517606844e+00
4.500335291765306112e-02 3.358183455343220139e+10 4.552814247375429169e+00
4.619805805362375839e-02 3.632795608152735138e+10 4.526826818610151015e+00
4.742447905673276981e-02 3.929863899965225983e+10 4.500666666762494827e+00
4.868345788889854447e-02 4.251224659485585022e+10 4.474395377752093950e+00
4.997585886362381630e-02 4.598864379394489288e+10 4.448049952046682520e+00
5.130256923936334090e-02 4.974931995859903717e+10 4.421661870383143622e+00
5.266449982864430945e-02 5.381752172193711090e+10 4.395643361394087734e+00
5.406258562335689716e-02 5.821839668766265106e+10 4.369269809744688260e+00
5.549778643664439459e-02 6.297914888006584930e+10 4.342846180034763748e+00
5.697108756183354855e-02 6.812920690579628754e+10 4.316475451327726809e+00
5.848350044885776422e-02 7.370040586690040588e+10 4.290195216080877394e+00
6.003606339863717251e-02 7.972718414961814880e+10 4.263923424062726397e+00
6.162984227589228536e-02 8.624679630538978577e+10 4.237666371142055688e+00
6.326593124088113196e-02 9.329954333999919128e+10 4.211442530943068974e+00
6.494545350056150912e-02 1.009290218343845978e+11 4.185256004403927754e+00
6.666956207969426673e-02 1.091823934370582275e+11 4.159134717122654479e+00
6.843944061241760690e-02 1.181106763940061798e+11 4.133082184359989419e+00
7.025630415483477553e-02 1.277690609181569672e+11 4.107076779544668987e+00
7.212140001917367871e-02 1.382172503478789978e+11 4.081104658751922187e+00
7.403600863009127120e-02 1.495198302033808289e+11 4.055166739793101272e+00
7.600144440370992793e-02 1.617466674223340759e+11 4.029264247805904198e+00
7.801905664998959322e-02 1.749733422425968933e+11 4.003270091533257080e+00
8.009023049905554525e-02 1.892816154017246399e+11 3.977373779544294496e+00
8.221638785211725364e-02 2.047599335412612305e+11 3.951792698000015758e+00
8.439898835763096074e-02 2.215039759399665833e+11 3.926139766375652318e+00
8.663953041337721372e-02 2.396172459556228027e+11 3.900492469985963329e+00
8.893955219513975663e-02 2.592117108314060364e+11 3.874972645076741440e+00
9.130063271269349412e-02 2.804084938218021851e+11 3.849452452573356442e+00
9.372439289382528127e-02 3.033386229164344482e+11 3.823981682975162499e+00
9.621249669713244357e-02 3.281438407900484619e+11 3.798574384570823526e+00
9.876665225436286055e-02 3.549774809853623657e+11 3.773234034665176484e+00
1.013886130430807497e-01 3.840054157449082031e+11 3.747928545174721737e+00
1.040801790904629098e-01 4.154070813508874512e+11 3.722684792972192014e+00
1.068431982090528032e-01 4.493765873111934204e+11 3.697481351270446748e+00
1.096795672653197162e-01 4.861239162480241089e+11 3.672353974081416172e+00
1.125912334818944122e-01 5.258762219062079468e+11 3.647260800388176349e+00
1.155801957743757408e-01 5.688792333048922119e+11 3.622224840308479799e+00
1.186485061236248056e-01 6.153987737123455811e+11 3.597258563984567115e+00
1.217982709844900868e-01 6.657224038334425049e+11 3.572338536978030277e+00
1.250316527319296489e-01 7.201611993671849365e+11 3.547474371881576438e+00
1.283508711455235429e-01 7.790516739222413330e+11 3.522664130672649385e+00
1.317582049333959893e-01 8.427578591770233154e+11 3.497912232908261920e+00
1.352559932965928247e-01 9.116735551428013916e+11 3.473222490715837107e+00
1.388466375349884374e-01 9.862247644398760986e+11 3.448586039274063264e+00
1.425326026958251557e-01 1.066872325634296997e+12 3.424006117197469834e+00
1.463164192660162399e-01 1.154114761913105225e+12 3.399490205087069228e+00
1.502006849093741048e-01 1.248491362707179932e+12 3.375029983479495677e+00
1.541880662499575672e-01 1.350585517310790039e+12 3.350629888523627642e+00
1.582813007027611130e-01 1.461028321104593506e+12 3.326287547458756322e+00
1.624831983530033164e-01 1.580502476673974365e+12 3.302006287337609258e+00
1.667966438853057121e-01 1.709746513937522461e+12 3.277783938149245291e+00
1.712245985640842849e-01 1.849559355372341553e+12 3.253621564172439307e+00
1.757701022665159041e-01 2.000805254556208008e+12 3.229519259155746003e+00
1.804362755694728371e-01 2.164419138554131104e+12 3.205479642044842148e+00
1.852263218918593912e-01 2.341412387173333008e+12 3.181501841663965990e+00
1.901435296938220332e-01 2.532879084811150879e+12 3.157587032267004101e+00
1.951912747343409749e-01 2.740002783541629395e+12 3.133733896095754812e+00
2.003730223887542072e-01 2.964063819246873047e+12 3.109943683397465630e+00
2.056923300278059030e-01 3.206447226017892090e+12 3.086214680059458093e+00
2.111528494598503558e-01 3.468651297747759766e+12 3.062549524475779439e+00
2.167583294378893355e-01 3.752296849840642578e+12 3.038946558275294141e+00
2.225126182331647051e-01 4.059137238288028809e+12 3.015408576941619234e+00
2.284196662770709152e-01 4.391069198045002441e+12 2.991928378300311664e+00
2.344835288732038114e-01 4.750144567704169922e+12 2.968520116029922828e+00
2.407083689814052130e-01 5.138582972943213867e+12 2.945184823258831130e+00
2.470984600757157590e-01 5.558785547148918945e+12 2.921907617660718159e+00
2.536581890781986481e-01 6.013349774031792969e+12 2.898695912711502398e+00
2.603920593706469111e-01 6.505085543980875977e+12 2.875550075595087574e+00
2.673046938862423949e-01 7.037032523411170898e+12 2.852469870799196006e+00
2.744008382832900939e-01 7.612478944472459961e+12 2.829456345281477603e+00
2.816853642032047245e-01 8.234981931268043945e+12 2.806510299901468386e+00
2.891632726149873656e-01 8.908389488230062500e+12 2.783631976428425858e+00
2.968396972484884100e-01 9.636864286572619141e+12 2.760822912494643511e+00
3.047199081188132763e-01 1.042490939585875195e+13 2.738076255794077873e+00
3.128093151442896680e-01 1.127739611974091992e+13 2.715404965420646910e+00
3.211134718604832794e-01 1.219959410794202148e+13 2.692802408642799961e+00
3.296380792328065801e-01 1.319720393061377344e+13 2.670275336225072405e+00
3.383889895703441897e-01 1.427639231643159961e+13 2.647810970380285234e+00
3.473722105435762542e-01 1.544383027224983398e+13 2.625417349097732167e+00
3.565939093087610035e-01 1.670673431995431836e+13 2.603093282577776613e+00
3.660604167418088362e-01 1.807291110541831250e+13 2.580842321464041689e+00
3.757782317845512199e-01 1.955080565531170703e+13 2.558662708633149041e+00
3.857540259063905186e-01 2.114955358006341797e+13 2.536557495401049689e+00
3.959946476843947405e-01 2.287903754566996094e+13 2.514513595216899322e+00
4.065071275049788602e-01 2.474994836343051562e+13 2.492558159970400755e+00
4.172986823904011877e-01 2.677385107523493359e+13 2.470667064957134951e+00
4.283767209533913545e-01 2.896325644291165234e+13 2.448843206413741314e+00
4.397488484833056988e-01 3.133169828354628516e+13 2.427090328430283606e+00
4.514228721673079758e-01 3.389381712882041797e+13 2.405439220161139424e+00
4.634068064501549733e-01 3.666545072551028906e+13 2.383828511431953956e+00
4.757088785362683647e-01 3.966373193657483594e+13 2.362309915489634982e+00
4.883375340378720009e-01 4.290719464800937500e+13 2.340865712099533091e+00
5.013014427730688727e-01 4.641588833612788281e+13 2.319518074664395968e+00
