# Matter power spectrum P(k) at redshift z=1
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039457253733e+03       1.067398360597e-07 
       1.308599151198e+03       5.331619250080e-08 
       1.647428725296e+03       2.594919238811e-08 
       2.073989886394e+03       1.258369467991e-08 
       2.610998571786e+03       6.566115681405e-09 
       3.287052452180e+03       3.241905426038e-09 
       4.138153861949e+03       1.693795138286e-09 
       5.209627054722e+03       8.737680155133e-10 
       6.558531885160e+03       4.492656447434e-10 
       8.256702454290e+03       2.260492035724e-10 
       1.039457253733e+04       1.199856493048e-10 
       1.308599151198e+04       6.153478967700e-11 
       1.647428725296e+04       3.272765338174e-11 
       2.073989886394e+04       1.766183003880e-11 
       2.610998571786e+04       4.498763541183e-12 
       3.287052452180e+04       2.322264534680e-11 
       4.138153861949e+04       9.079397089008e-10 
       5.209627054722e+04       4.180107300246e-07 
       6.558531885160e+04       5.223632749008e-04 
       8.256702454290e+04       9.884238241281e+00 
       1.039457253733e+05       1.309664668350e+06 
