#  R_hMpc M_hMsun sigma
6.710719226581571620e-03 1.000000000000000000e+08 6.946350236765184150e+00
6.888868857804036384e-03 1.081774017548856586e+08 6.912027471419587954e+00
7.071747831744183699e-03 1.170235025043789595e+08 6.877629019351457984e+00
7.259481698381493181e-03 1.265929844518007040e+08 6.843285705042349676e+00
7.452199340673865482e-03 1.369450013839243352e+08 6.809115718842736698e+00
7.650033063038311210e-03 1.481435443303210437e+08 6.775201726449028961e+00
7.853118682180533494e-03 1.602578371241384447e+08 6.741616320727672473e+00
8.061595620335695531e-03 1.733627643094694614e+08 6.708422771259725970e+00
8.275607000984527492e-03 1.875393340404296815e+08 6.675695443205267310e+00
8.495299747110406086e-03 2.028751788333525956e+08 6.643535090520437336e+00
8.720824682064800756e-03 2.194650972674985230e+08 6.612065432206700955e+00
8.952336633110473743e-03 2.374116399828124046e+08 6.581434393402452621e+00
9.189994537713398054e-03 2.568257435970689058e+08 6.551784538955991444e+00
9.433961552656456445e-03 2.778274164609735608e+08 6.523239720477223003e+00
9.684405166049698394e-03 3.005464804902057052e+08 6.495876915226636683e+00
9.941497312314254847e-03 3.251233736600587368e+08 6.469728113359854760e+00
1.020541449021860995e-02 3.517100181232796907e+08 6.444783574535435378e+00
1.047633788404847555e-02 3.804707593174008727e+08 6.421015152152143912e+00
1.075445348799333734e-02 4.115833818666479588e+08 6.398392970355953224e+00
1.103995223383508716e-02 4.452402085582287908e+08 6.376888357607439772e+00
1.133303012202639161e-02 4.816492891863252521e+08 6.356463222856107542e+00
1.163388835624885008e-02 5.210356866126408577e+08 6.337040769962005271e+00
1.194273348154323983e-02 5.636428679932833910e+08 6.318488419359769459e+00
1.225977752610668027e-02 6.097342097718528509e+08 6.300617409435448124e+00
1.258523814685416457e-02 6.595946257418733835e+08 6.283204573440722029e+00
1.291933877884425541e-02 7.135323282424204350e+08 6.266025198876180369e+00
1.326230878867158854e-02 7.718807333737915754e+08 6.248869623388229044e+00
1.361438363193154602e-02 8.350005220103238821e+08 6.231534280978988427e+00
1.397580501486507185e-02 9.032818693504987955e+08 6.213800550371017195e+00
1.434682106029476142e-02 9.771468567863301039e+08 6.195426790176843390e+00
1.472768647796596220e-02 1.057052081000983715e+09 6.176170293635744990e+00
1.511866273941002425e-02 1.143491476422811031e+09 6.155826570566593325e+00
1.552001825744958943e-02 1.236999368482777834e+09 6.134252219670854878e+00
1.593202857046918663e-02 1.338153776549010515e+09 6.111352825474309469e+00
1.635497653157776121e-02 1.447579986955594778e+09 6.087057083383514033e+00
1.678915250279282290e-02 1.565954418212274790e+09 6.061315883572605756e+00
1.723485455437959515e-02 1.694008802287872076e+09 6.034132365128454190e+00
1.769238866948211544e-02 1.832534707814074278e+09 6.005582547661695081e+00
1.816206895418660816e-02 1.982388433169750452e+09 5.975792114192923776e+00
1.864421785316139682e-02 2.144496299692420006e+09 5.944894215558885087e+00
1.913916637102151125e-02 2.319860377736921787e+09 5.913020581094570183e+00
1.964725429956978159e-02 2.509564680976877213e+09 5.880322527836462143e+00
2.016883045107049563e-02 2.714781867239066124e+09 5.846963388006209073e+00
2.070425289771588365e-02 2.936780487291985989e+09 5.813070749684669636e+00
