# Matter power spectrum P(k) at redshift z=2.14465
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       8.709836057166e+00 
       1.307253015860e-05       1.086449219458e+01 
       1.645734041311e-05       1.355216056703e+01 
       2.071856405662e-05       1.690468587344e+01 
       2.608312678676e-05       2.108651569775e+01 
       3.283671113090e-05       2.630275583297e+01 
       4.133897008243e-05       3.280919450583e+01 
       5.204267993417e-05       4.092479935210e+01 
       6.551785226700e-05       5.104724275892e+01 
       8.248208914511e-05       6.367217363786e+01 
       1.038387980426e-04       7.941707312762e+01 
       1.307253015860e-04       9.905062321348e+01 
       1.645734041311e-04       1.235286237278e+02 
       2.071856405662e-04       1.540373622829e+02 
       2.608312678676e-04       1.920449931204e+02 
       3.283671113090e-04       2.393604822608e+02 
       4.133897008243e-04       2.981977087401e+02 
       5.204267993417e-04       3.712388734981e+02 
       6.551785226700e-04       4.616865061785e+02 
       8.248208914511e-04       5.732884741299e+02 
       1.038387980426e-03       7.103184558629e+02 
       1.307253015860e-03       8.774925917470e+02 
       1.645734041311e-03       1.079747137656e+03 
       2.071856405662e-03       1.321859523521e+03 
       2.608312678676e-03       1.607588079243e+03 
       3.283671113090e-03       1.938558693881e+03 
       4.133897008243e-03       2.312744359723e+03 
       5.204267993417e-03       2.722400751998e+03 
       6.551785226700e-03       3.151594179551e+03 
       8.248208914511e-03       3.573679347701e+03 
       1.038387980426e-02       3.948066137108e+03 
       1.307253015860e-02       4.219876737847e+03 
       1.645734041309e-02       4.321749434110e+03 
       2.071856389740e-02       4.187982134967e+03 
       2.608300445243e-02       3.788853986665e+03 
       3.281964991556e-02       3.185407576159e+03 
       4.076731882098e-02       2.583472282505e+03 
       4.748610964640e-02       2.238703321371e+03 
       5.235556489500e-02       2.069560951301e+03 
       5.636819838611e-02       1.964171401969e+03 
       5.994952259956e-02       1.884625949141e+03 
       6.328896038018e-02       1.815131502696e+03 
       6.648665992189e-02       1.747756191031e+03 
       6.960262323712e-02       1.678275742665e+03 
       7.267623995969e-02       1.604678010466e+03 
       7.573525737584e-02       1.526435740104e+03 
       7.880036892493e-02       1.444281363494e+03 
       8.188776255393e-02       1.359628118374e+03 
       8.501063007773e-02       1.274571649964e+03 
       8.818010842318e-02       1.191468218380e+03 
       9.140589175815e-02       1.112670754312e+03 
       9.469664359045e-02       1.040281105781e+03 
       9.806028224808e-02       9.759088798031e+02 
       1.015041833512e-01       9.205107301672e+02 
       1.050353261720e-01       8.742845060675e+02 
       1.086604010236e-01       8.366406604361e+02 
       1.123858889329e-01       8.062119320277e+02 
       1.162181211904e-01       7.809544587549e+02 
       1.201633240441e-01       7.583264266633e+02 
       1.242276522951e-01       7.355916222389e+02 
       1.284172145558e-01       7.102398313609e+02 
       1.327380922745e-01       6.804778790455e+02 
       1.371963541906e-01       6.456695345912e+02 
       1.417980675894e-01       6.065311305977e+02 
       1.465493075383e-01       5.650092531958e+02 
       1.514561651563e-01       5.238357940742e+02 
       1.565247558934e-01       4.858443275580e+02 
