# Matter power spectrum P(k) at redshift z=1.44499
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       1.402959564399e+01 
       1.307253015860e-05       1.750026399440e+01 
       1.645734041311e-05       2.182949040873e+01 
       2.071856405662e-05       2.722965455060e+01 
       2.608312678676e-05       3.396563263515e+01 
       3.283671113090e-05       4.236780111808e+01 
       4.133897008243e-05       5.284816314325e+01 
       5.204267993417e-05       6.592047773684e+01 
       6.551785226700e-05       8.222525260854e+01 
       8.248208914511e-05       1.025607645356e+02 
       1.038387980426e-04       1.279214314756e+02 
       1.307253015860e-04       1.595450298580e+02 
       1.645734041311e-04       1.989703635747e+02 
       2.071856405662e-04       2.481067881531e+02 
       2.608312678676e-04       3.093163631343e+02 
       3.283671113090e-04       3.855077806505e+02 
       4.133897008243e-04       4.802380998651e+02 
       5.204267993417e-04       5.978132019809e+02 
       6.551785226700e-04       7.433712757537e+02 
       8.248208914511e-04       9.229279906557e+02 
       1.038387980426e-03       1.143358979252e+03 
       1.307253015860e-03       1.412279583898e+03 
       1.645734041311e-03       1.737665974627e+03 
       2.071856405662e-03       2.127197425052e+03 
       2.608312678676e-03       2.586914104877e+03 
       3.283671113090e-03       3.119438628476e+03 
       4.133897008243e-03       3.721506230859e+03 
       5.204267993417e-03       4.380655256191e+03 
       6.551785226700e-03       5.071254357953e+03 
       8.248208914511e-03       5.750303047647e+03 
       1.038387980426e-02       6.352782047217e+03 
       1.307253015860e-02       6.790151292386e+03 
       1.645734041309e-02       6.954049912033e+03 
       2.071856389740e-02       6.738829948437e+03 
       2.608300445243e-02       6.096596560987e+03 
       3.281964991556e-02       5.125594363589e+03 
       4.076731882098e-02       4.157004289403e+03 
       4.748610964640e-02       3.602266052346e+03 
       5.235556489500e-02       3.330072779528e+03 
       5.636819838611e-02       3.160499210515e+03 
       5.994952259956e-02       3.032526745838e+03 
       6.328896038018e-02       2.920704645151e+03 
       6.648665992189e-02       2.812283522676e+03 
       6.960262323712e-02       2.700486841528e+03 
       7.267623995969e-02       2.582057686463e+03 
       7.573525737584e-02       2.456134565990e+03 
       7.880036892493e-02       2.323971492034e+03 
       8.188776255393e-02       2.187751160560e+03 
       8.501063007773e-02       2.050887427907e+03 
       8.818010842318e-02       1.917156487473e+03 
       9.140589175815e-02       1.790370916156e+03 
       9.469664359045e-02       1.673869024965e+03 
       9.806028224808e-02       1.570300210719e+03 
       1.015041833512e-01       1.481173388495e+03 
       1.050353261720e-01       1.406790217702e+03 
       1.086604010236e-01       1.346201351684e+03 
       1.123858889329e-01       1.297261360426e+03 
       1.162181211904e-01       1.256623055362e+03 
       1.201633240441e-01       1.220207554092e+03 
       1.242276522951e-01       1.183628093424e+03 
       1.284172145558e-01       1.142837412907e+03 
       1.327380922745e-01       1.094929954204e+03 
       1.371963541906e-01       1.038922564240e+03 
       1.417980675894e-01       9.759600403698e+02 
       1.465493075383e-01       9.091405210296e+02 
       1.514561651563e-01       8.428925764880e+02 
       1.565247558934e-01       7.817596143981e+02 
       1.617612287437e-01       7.293200588831e+02 
       1.671717772872e-01       6.872483696105e+02 
       1.727626534338e-01       6.549629662133e+02 
       1.785401847321e-01       6.296834751320e+02 
       1.845107960933e-01       6.073763418173e+02 
       1.906810367808e-01       5.835384932719e+02 
       1.970576135147e-01       5.547972377425e+02 
       2.036474305566e-01       5.205650813631e+02 
       2.104576376707e-01       4.833228191006e+02 
       2.174956869163e-01       4.470536903022e+02 
       2.247693993211e-01       4.152778380441e+02 
       2.322870426350e-01       3.897898557053e+02 
       2.400574215756e-01       3.700754648466e+02 
       2.480899822819e-01       3.533608937220e+02 
       2.563949331083e-01       3.361947493604e+02 
       2.649833844501e-01       3.165310320461e+02 
       2.738675110412e-01       2.947189340279e+02 
       2.830607411522e-01       2.730998903615e+02 
       2.925779784269e-01       2.542971730806e+02 
       3.024358638260e-01       2.390445305339e+02 
