# Matter power spectrum P(k) at redshift z=1.48016
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       1.366281758264e+01 
       1.307253015860e-05       1.704275141705e+01 
       1.645734041311e-05       2.125879874572e+01 
       2.071856405662e-05       2.651778562791e+01 
       2.608312678676e-05       3.307766456319e+01 
       3.283671113090e-05       4.126017526313e+01 
       4.133897008243e-05       5.146655035604e+01 
       5.204267993417e-05       6.419711909465e+01 
       6.551785226700e-05       8.007564714553e+01 
       8.248208914511e-05       9.987954734110e+01 
       1.038387980426e-04       1.245772516420e+02 
       1.307253015860e-04       1.553741984103e+02 
       1.645734041311e-04       1.937690041770e+02 
       2.071856405662e-04       2.416211876640e+02 
       2.608312678676e-04       3.012312064763e+02 
       3.283671113090e-04       3.754319823639e+02 
       4.133897008243e-04       4.676880502527e+02 
       5.204267993417e-04       5.821934587065e+02 
       6.551785226700e-04       7.239530480992e+02 
       8.248208914511e-04       8.988261253981e+02 
       1.038387980426e-03       1.113508679651e+03 
       1.307253015860e-03       1.375415848894e+03 
       1.645734041311e-03       1.692314495323e+03 
       2.071856405662e-03       2.071684290070e+03 
       2.608312678676e-03       2.519407639502e+03 
       3.283671113090e-03       3.038038788598e+03 
       4.133897008243e-03       3.624398141356e+03 
       5.204267993417e-03       4.266349244750e+03 
       6.551785226700e-03       4.938918110775e+03 
       8.248208914511e-03       5.600264861714e+03 
       1.038387980426e-02       6.187021707144e+03 
       1.307253015860e-02       6.612979267624e+03 
       1.645734041309e-02       6.772601197552e+03 
       2.071856389740e-02       6.562995957559e+03 
       2.608300445243e-02       5.937520404889e+03 
       3.281964991556e-02       4.991854286486e+03 
       4.076731882098e-02       4.048537143930e+03 
       4.748610964640e-02       3.508273477680e+03 
       5.235556489500e-02       3.243184286098e+03 
       5.636819838611e-02       3.078034601048e+03 
       5.994952259956e-02       2.953400245305e+03 
       6.328896038018e-02       2.844495490415e+03 
       6.648665992189e-02       2.738904812740e+03 
       6.960262323712e-02       2.630024115461e+03 
       7.267623995969e-02       2.514686178914e+03 
       7.573525737584e-02       2.392048136573e+03 
       7.880036892493e-02       2.263333306715e+03 
       8.188776255393e-02       2.130668252888e+03 
       8.501063007773e-02       1.997374753496e+03 
       8.818010842318e-02       1.867136278162e+03 
       9.140589175815e-02       1.743656071395e+03 
       9.469664359045e-02       1.630194583714e+03 
       9.806028224808e-02       1.529328111769e+03 
       1.015041833512e-01       1.442525900518e+03 
       1.050353261720e-01       1.370083785382e+03 
       1.086604010236e-01       1.311076345420e+03 
       1.123858889329e-01       1.263412746209e+03 
       1.162181211904e-01       1.223834518461e+03 
       1.201633240441e-01       1.188370242528e+03 
       1.242276522951e-01       1.152744536499e+03 
       1.284172145558e-01       1.113017689147e+03 
       1.327380922745e-01       1.066360983156e+03 
       1.371963541906e-01       1.011814900083e+03 
       1.417980675894e-01       9.504947557837e+02 
       1.465493075383e-01       8.854188347950e+02 
       1.514561651563e-01       8.208993908242e+02 
       1.565247558934e-01       7.613619299920e+02 
       1.617612287437e-01       7.102906758807e+02 
       1.671717772872e-01       6.693167899021e+02 
       1.727626534338e-01       6.378734852266e+02 
       1.785401847321e-01       6.132533929898e+02 
       1.845107960933e-01       5.915282870701e+02 
       1.906810367808e-01       5.683126830671e+02 
       1.970576135147e-01       5.403213029545e+02 
       2.036474305566e-01       5.069823304888e+02 
       2.104576376707e-01       4.707116775091e+02 
       2.174956869163e-01       4.353891359993e+02 
       2.247693993211e-01       4.044423091295e+02 
       2.322870426350e-01       3.796193237696e+02 
       2.400574215756e-01       3.604192589737e+02 
       2.480899822819e-01       3.441410006083e+02 
       2.563949331083e-01       3.274225484325e+02 
       2.649833844501e-01       3.082720287961e+02 
       2.738675110412e-01       2.870289471925e+02 
       2.830607411522e-01       2.659740160439e+02 
       2.925779784269e-01       2.476619170375e+02 
       3.024358638260e-01       2.328072405324e+02 
       3.126530874568e-01       2.201049701911e+02 
       3.232507631655e-01       2.075314091122e+02 
       3.342528829678e-01       1.939350937254e+02 
