#  R_hMpc M_hMsun sigma
3.898734933054545139e-03 1.000000000000000000e+08 3.600929843879862702e+00
4.002234746875784656e-03 1.081774017548855990e+08 3.591184535184039905e+00
4.108482172844285865e-03 1.170235025043788999e+08 3.580941179582090239e+00
4.217550151888481424e-03 1.265929844518005997e+08 3.570208469988003230e+00
4.329513561301442937e-03 1.369450013839242756e+08 3.559008072644194165e+00
4.444449266145612983e-03 1.481435443303209245e+08 3.547379127510366992e+00
4.562436172022186869e-03 1.602578371241383851e+08 3.535363760920934073e+00
4.683555279241313068e-03 1.733627643094694316e+08 3.522994276129278735e+00
4.807889738430401114e-03 1.875393340404296815e+08 3.510299839662741839e+00
4.935524907618660945e-03 2.028751788333525658e+08 3.497312047454385286e+00
5.066548410837025569e-03 2.194650972674984932e+08 3.484051076529837143e+00
5.201050198273774600e-03 2.374116399828123152e+08 3.470517524967061007e+00
5.339122608027080906e-03 2.568257435970688164e+08 3.456705822399995576e+00
5.480860429496936005e-03 2.778274164609734416e+08 3.442608690785896819e+00
5.626360968459889929e-03 3.005464804902064800e+08 3.428207385383739147e+00
5.775724113871376179e-03 3.251233736600586772e+08 3.413481922547537462e+00
5.929052406441444496e-03 3.517100181232796907e+08 3.398426792506244354e+00
6.086451109030922846e-03 3.804707593174012303e+08 3.383044390749834651e+00
6.248028278916439512e-03 4.115833818666477203e+08 3.367349089742276647e+00
6.413894841973868943e-03 4.452402085582287312e+08 3.351380020235775081e+00
6.584164668831066040e-03 4.816492891863256097e+08 3.335189000688336236e+00
6.758954653042295764e-03 5.210356866126407981e+08 3.318837897432862505e+00
6.938384791337950594e-03 5.636428679932831526e+08 3.302400615093253666e+00
7.122578266004609901e-03 6.097342097718536854e+08 3.285944516770066048e+00
7.311661529452092093e-03 6.595946257418730259e+08 3.269531486408786325e+00
7.505764391025530370e-03 7.135323282424203157e+08 3.253213713000187468e+00
7.705020106121964439e-03 7.718807333737921715e+08 3.237027900588127505e+00
7.909565467672796668e-03 8.350005220103222132e+08 3.221008212811423022e+00
8.119540900054823818e-03 9.032818693504983187e+08 3.205184250666978762e+00
8.335090555494263295e-03 9.771468567863293886e+08 3.189595728578506595e+00
8.556362413030099354e-03 1.057052081000984788e+09 3.174293030710789942e+00
8.783508380104554369e-03 1.143491476422810793e+09 3.159339792383345280e+00
9.016684396850547720e-03 1.236999368482776880e+09 3.144806692391382885e+00
9.256050543147577303e-03 1.338153776549007654e+09 3.130760978813504458e+00
9.501771148519739044e-03 1.447579986955594301e+09 3.117256085371304497e+00
9.754014904951093315e-03 1.565954418212274551e+09 3.104323381426449924e+00
1.001295498269602104e-02 1.694008802287870646e+09 3.091971417626194985e+00
1.027876914916399723e-02 1.832534707814073324e+09 3.080192799337988951e+00
1.055163989096035738e-02 1.982388433169749498e+09 3.068972430965911879e+00
1.083175453916690283e-02 2.144496299692419052e+09 3.058297008073067147e+00
1.111930539794836990e-02 2.319860377736923695e+09 3.048152159446120280e+00
1.141448987657294953e-02 2.509564680976875782e+09 3.038515912153976206e+00
1.171751062493763505e-02 2.714781867239069462e+09 3.029345164527807110e+00
1.202857567269127910e-02 2.936780487291987896e+09 3.020568198967156004e+00
1.234789857205105534e-02 3.176932826396936893e+09 3.012088979825502388e+00
1.267569854441018100e-02 3.436723387094257832e+09 3.003799274945055053e+00
1.301220063083766837e-02 3.717758065661061764e+09 2.995592979083227192e+00
1.335763584657344120e-02 4.021774078964826107e+09 2.987371494639589731e+00
1.371224133962477623e-02 4.350650703075630188e+09 2.979036615389994314e+00
1.407626055357301224e-02 4.706420890017874718e+09 2.970480497894197658e+00
1.444994339470235395e-02 5.091283834470490456e+09 2.961585660359101091e+00
1.483354640356538898e-02 5.507618568096688271e+09 2.952239158249046369e+00
1.522733293110314738e-02 5.957998665536623955e+09 2.942350805216010556e+00
1.563157331944070583e-02 6.445208152968265533e+09 2.931859606104955329e+00
1.604654508748230152e-02 6.972258717575126648e+09 2.920724418500381780e+00
1.647253312143343723e-02 7.542408324301269531e+09 2.908913267304819694e+00
1.690982987038086582e-02 8.159181354973305702e+09 2.896407781341669985e+00
1.735873554706457433e-02 8.826390394279195786e+09 2.883218787739232347e+00
1.781955833397964178e-02 9.548159797274040222e+09 2.869391110722297800e+00
1.829261459494954667e-02 1.032895118409557724e+10 2.854987559421235943e+00
1.877822909231616905e-02 1.117359101948509026e+10 2.840071097561458924e+00
1.927673520989534039e-02 1.208730044759620667e+10 2.824706353847810547e+00
1.978847518185140528e-02 1.307572756651621819e+10 2.808968766917135707e+00
2.031380032764765198e-02 1.414498234200455284e+10 2.792934257945364873e+00
2.085307129323395181e-02 1.530167437626788902e+10 2.736000482974605408e+00
2.140665829863720379e-02 1.655295376523967934e+10 2.722758210297318460e+00
2.197494139212465003e-02 1.790655529692377090e+10 2.709762188728864540e+00
2.255831071111439462e-02 1.937084626401398087e+10 2.700230990384600460e+00
2.315716675001230906e-02 2.095487818634362411e+10 2.686143522728356992e+00
2.377192063515931250e-02 2.266844276288779068e+10 2.672044830533454984e+00
2.440299440707758769e-02 2.452213239918542099e+10 2.674463925241065798e+00
2.505082131020957767e-02 2.652740568433174133e+10 2.643870658026686193e+00
2.571584609034882271e-02 2.869665822228787613e+10 2.629821989466237131e+00
2.639852529996656455e-02 3.104329925535078049e+10 2.615807523875893548e+00
2.709932761164389123e-02 3.358183455343217468e+10 2.608662517314374707e+00
2.781873413982466348e-02 3.632795608152725983e+10 2.587863137819339965e+00
2.855723877110992459e-02 3.929863899965214539e+10 2.573898448675004946e+00
2.931534850332064707e-02 4.251224659485587311e+10 2.559919458986412266e+00
3.009358379356161933e-02 4.598864379394477081e+10 2.545927514096173905e+00
3.089247891552551403e-02 4.974931995859891510e+10 2.531935147492309746e+00
3.171258232628199059e-02 5.381752172193703461e+10 2.517952235874787004e+00
3.255445704280426900e-02 5.821839668766249847e+10 2.503986646676144012e+00
3.341868102849133298e-02 6.297914888006568146e+10 2.490046805968144650e+00
3.430584758995088718e-02 6.812920690579619598e+10 2.476137379888598389e+00
3.521656578431601320e-02 7.370040586690031433e+10 2.462261182803755943e+00
3.615146083737477700e-02 7.972718414961795044e+10 2.448415245552802322e+00
3.711117457279988069e-02 8.624679630538969421e+10 2.435017627592311218e+00
3.809636585277308141e-02 9.329954333999909973e+10 2.421154747047946199e+00
3.910771103030701024e-02 1.009290218343843231e+11 2.407337744342995745e+00
4.014590441357464984e-02 1.091823934370581818e+11 2.393257993247849935e+00
4.121165874256535466e-02 1.181106763940061035e+11 2.373260890062747208e+00
4.230570567839488788e-02 1.277690609181566162e+11 2.361090936807629159e+00
4.342879630560495668e-02 1.382172503478788452e+11 2.348292407596806353e+00
4.458170164779732408e-02 1.495198302033807373e+11 2.335196861567875537e+00
4.576521319695667916e-02 1.617466674223340149e+11 2.321937271978877781e+00
4.698014345682515608e-02 1.749733422425967102e+11 2.308574000866014497e+00
4.822732650070211957e-02 1.892816154017244568e+11 2.295144288137663580e+00
4.950761854405170970e-02 2.047599335412609863e+11 2.281670651981105635e+00
5.082189853231130344e-02 2.215039759399663391e+11 2.268169518420697806e+00
5.217106874430490343e-02 2.396172459556222229e+11 2.254868452027125603e+00
5.355605541167501871e-02 2.592117108314058838e+11 2.241308618661803642e+00
5.497780935475866243e-02 2.804084938218018188e+11 2.227825769394832012e+00
5.643730663534422126e-02 3.033386229164337769e+11 2.214326292392722273e+00
5.793554922675678981e-02 3.281438407900480957e+11 2.200846306131962749e+00
5.947356570173231022e-02 3.549774809853619995e+11 2.187400818716314532e+00
6.105241193855300702e-02 3.840054157449077759e+11 2.173957954020996564e+00
6.267317184592816059e-02 4.154070813508872070e+11 2.160531462668562330e+00
6.433695810711875795e-02 4.493765873111931152e+11 2.147118493338283418e+00
6.604491294381617528e-02 4.861239162480236816e+11 2.133734840230912866e+00
6.779820890029950031e-02 5.258762219062073364e+11 2.120387431030389624e+00
6.959804964841023733e-02 5.688792333048908691e+11 2.107068867776626941e+00
7.144567081389639751e-02 6.153987737123447266e+11 2.093768477568830555e+00
7.334234082469352767e-02 6.657224038334416504e+11 2.080485330002220579e+00
7.528936178172543348e-02 7.201611993671834717e+11 2.067219651210094433e+00
7.728807035282168891e-02 7.790516739222406006e+11 2.053984952908680661e+00
7.933983869036613512e-02 8.427578591770224609e+11 2.040691440002802448e+00
8.144607537330639246e-02 9.116735551428011475e+11 2.027493692248857116e+00
8.360822637417048009e-02 9.862247644398748779e+11 2.014348805450175472e+00
8.582777605175546942e-02 1.066872325634296265e+12 2.001248929929844600e+00
8.810624817016851629e-02 1.154114761913104004e+12 1.988180244934438123e+00
9.044520694492054480e-02 1.248491362707177979e+12 1.975109085520698748e+00
9.284625811679092511e-02 1.350585517310788330e+12 1.962061298972079371e+00
9.531105005419966691e-02 1.461028321104592041e+12 1.949045328437513991e+00
9.784127488484431479e-02 1.580502476673972412e+12 1.936061042587047254e+00
1.004386696573789650e-01 1.709746513937520264e+12 1.923100131203322238e+00
1.031050175339315866e-01 1.849559355372339844e+12 1.910168786896719650e+00
1.058421490142799348e-01 2.000805254556206299e+12 1.897259669852144892e+00
1.086519431925251356e-01 2.164419138554128662e+12 1.884386948263935935e+00
1.115363290471263341e-01 2.341412387173331543e+12 1.871532084033332266e+00
1.144972867651821991e-01 2.532879084811148926e+12 1.858707296428258937e+00
1.175368491018679018e-01 2.740002783541626465e+12 1.845917577125768760e+00
1.206571027759609227e-01 2.964063819246870605e+12 1.833151801357511435e+00
1.238601899024144998e-01 3.206447226017887207e+12 1.820414099820654164e+00
1.271483094629611843e-01 3.468651297747755859e+12 1.807703879057551033e+00
1.305237188157563621e-01 3.752296849840638184e+12 1.795025556884565221e+00
1.339887352450991331e-01 4.059137238288023926e+12 1.782375197502350739e+00
1.375457375522926295e-01 4.391069198044998535e+12 1.769753865907584212e+00
1.411971676887378568e-01 4.750144567704165039e+12 1.757163045097043685e+00
1.449455324323807859e-01 5.138582972943209961e+12 1.744602230884571670e+00
1.487934051086640397e-01 5.558785547148914062e+12 1.732070831951460832e+00
1.527434273571653400e-01 6.013349774031788086e+12 1.719570144291012292e+00
1.567983109451344392e-01 6.505085543980874023e+12 1.707098564929702800e+00
1.609608396291738186e-01 7.037032523411164062e+12 1.694660628611641684e+00
1.652338710663425470e-01 7.612478944472461914e+12 1.682249190335244338e+00
1.696203387759926962e-01 8.234981931268038086e+12 1.669869943947710045e+00
1.741232541536883449e-01 8.908389488230050781e+12 1.657522498396914123e+00
1.787457085385869004e-01 9.636864286572623047e+12 1.645204945740809110e+00
1.834908753357034628e-01 1.042490939585873828e+13 1.632920503818232172e+00
1.883620121945158155e-01 1.127739611974091211e+13 1.620667778035006057e+00
1.933624632454038483e-01 1.219959410794200977e+13 1.608446516848578423e+00
1.984956613954600713e-01 1.319720393061375977e+13 1.596257649345116825e+00
2.037651306852478195e-01 1.427639231643158594e+13 1.584100092129481441e+00
2.091744887081233573e-01 1.544383027224981445e+13 1.571975037371489803e+00
2.147274490937840230e-01 1.670673431995429883e+13 1.559881993109386578e+00
2.204278240577481340e-01 1.807291110541832422e+13 1.547821611602841596e+00
2.262795270185142260e-01 1.955080565531169141e+13 1.535794234103158518e+00
2.322865752842000198e-01 2.114955358006339453e+13 1.523796740679498551e+00
2.384530928105023651e-01 2.287903754566997266e+13 1.511836181407151924e+00
2.447833130318728401e-01 2.474994836343049609e+13 1.499909480806195239e+00
2.512815817678536456e-01 2.677385107523490234e+13 1.488019665304539663e+00
2.579523602065671994e-01 2.896325644291163672e+13 1.476159616533297969e+00
2.648002279674080972e-01 3.133169828354625000e+13 1.464333698241539139e+00
2.718298862450421738e-01 3.389381712882037891e+13 1.452541462225195090e+00
2.790461610368675793e-01 3.666545072551025781e+13 1.440783627676968326e+00
2.864540064561557631e-01 3.966373193657479688e+13 1.429060255559814419e+00
2.940585081331477113e-01 4.290719464800939844e+13 1.417372109695815396e+00
3.018648867064370744e-01 4.641588833612785156e+13 1.405716398741248652e+00
3.098785014070413180e-01 5.021150200347203125e+13 1.394099003326033426e+00
3.181048537376178764e-01 5.431749824945838281e+13 1.382516798517786638e+00
3.265495912493524000e-01 5.875925830451946875e+13 1.370969789154796503e+00
3.352185114191136295e-01 6.356423892427092969e+13 1.359461562894614284e+00
3.441175656295338281e-01 6.876214211354393750e+13 1.347986007090787419e+00
3.532528632547484171e-01 7.438509872943371875e+13 1.336545900426848066e+00
3.626306758546015141e-01 8.046786709830784375e+13 1.325143092512434340e+00
3.722574414801926301e-01 8.704804787452373438e+13 1.313776792525369386e+00
3.821397690937255454e-01 9.416631646900860938e+13 1.302443782695815289e+00
3.922844431056886627e-01 1.018666744844562969e+14 1.291156141207538077e+00
4.026984280324857890e-01 1.101967217113918125e+14 1.279900807207328350e+00
4.133888732777115105e-01 1.192079503664456406e+14 1.268682441067757072e+00
4.243631180403560910e-01 1.289560633916741094e+14 1.257496783500596793e+00
4.356286963533106960e-01 1.395013187824963281e+14 1.246357726633094742e+00
4.471933422556245152e-01 1.509089020727047500e+14 1.235243344514166841e+00
4.590649951020750463e-01 1.632493292790762188e+14 1.224176485730583686e+00
4.712518050136911829e-01 1.765988827963824062e+14 1.213147982655290669e+00
4.837621384729671181e-01 1.910400829372822188e+14 1.202157736782309527e+00
4.966045840676172607e-01 2.066621980319298438e+14 1.191216011299822020e+00
5.097879583868104580e-01 2.235617962404781250e+14 1.180300853984057374e+00
5.233213120739271806e-01 2.418433424895007188e+14 1.169431365697636060e+00
5.372139360400050023e-01 2.616198442223111562e+14 1.158597665062996773e+00
5.514753678421284722e-01 2.830135499548746250e+14 1.147803609029424798e+00
5.661153982311504240e-01 3.061567049554486875e+14 1.137055368318339310e+00
5.811440778732299695e-01 3.311923687191755625e+14 1.126335984347130337e+00
5.965717242498119743e-01 3.582752992908634375e+14 1.115666894624880889e+00
6.124089287407815663e-01 3.875729099023962500e+14 1.105031124560864608e+00
6.286665638956486779e-01 4.192663038382161875e+14 1.094442682358595764e+00
6.453557908977668456e-01 4.535513939259250000e+14 1.083892114847873955e+00
6.624880672267058346e-01 4.906401135721319375e+14 1.073380074752746882e+00
6.800751545240298901e-01 5.307617268295523125e+14 1.062912357727340051e+00
6.981291266678961716e-01 5.741642455935716250e+14 1.052485851370948522e+00
7.166623780620096085e-01 6.211159626886661250e+14 1.042103491363954193e+00
7.356876321446181866e-01 6.719071103214436250e+14 1.031762100839218599e+00
7.552179501234035364e-01 7.268516541520683750e+14 1.021462429898009061e+00
7.752667399422565886e-01 7.862892340741148750e+14 1.011207230559646009e+00
7.958477654860879325e-01 8.505872636997685000e+14 1.000996014865005668e+00
8.169751560300051452e-01 9.201432015283838750e+14 9.908269251262766808e-01
8.386634159393383525e-01 9.953870078376266250e+14 9.807006944506313495e-01
8.609274346271643674e-01 1.076783802484444375e+15 9.706184319439356001e-01
8.837824967761823691e-01 1.164836740045131250e+15 9.605807607289921224e-01
9.072442928319446320e-01 1.260090120067130750e+15 9.505880397753948552e-01
9.313289297746569773e-01 1.363132751658640750e+15 9.406399573681621940e-01
9.560529421769289327e-01 1.474601593214195000e+15 9.307379436474908507e-01
9.814333035550827367e-01 1.595185689775259000e+15 9.208811626403162753e-01
1.007487438021806181e+00 1.725630432364625250e+15 9.110695916878140954e-01
1.034233232248139567e+00 1.866742165623650000e+15 9.013040145120334579e-01
1.061689047743026970e+00 2.019393172234542750e+15 8.915846969567745584e-01
1.089873733458852412e+00 2.184527064938890000e+15 8.819115836536403075e-01
1.118806638731608238e+00 2.363164619483155000e+15 8.722855983947676028e-01
1.148507626564592377e+00 2.556410084547597500e+15 8.627072171650478349e-01
1.178997087264752830e+00 2.765458007663466500e+15 8.531768425280922274e-01
1.210295952441022171e+00 2.991600619312763000e+15 8.436946957246618251e-01
1.242425709374279430e+00 3.236235820855605500e+15 8.342610560078874693e-01
1.275408415768789938e+00 3.500875825662488500e+15 8.248759644681495917e-01
1.309266714895242822e+00 3.787156506866579500e+15 8.155391192599257266e-01
1.344023851135800474e+00 4.096847509519339500e+15 8.062515531387411949e-01
1.379703685941824354e+00 4.431863189657761500e+15 7.970135867351246794e-01
1.416330714215218167e+00 4.794274447902965000e+15 7.878258709830590067e-01
1.453930081124659157e+00 5.186321530739799000e+15 7.786889440780710991e-01
1.492527599368251190e+00 5.610427878608526000e+15 7.696027855010949548e-01
1.532149766894435938e+00 6.069215106410452000e+15 7.605682486628914107e-01
1.572823785093357074e+00 6.565519209029845000e+15 7.515853214323655607e-01
1.614577577471141279e+00 7.102408092046383000e+15 7.426540256224009040e-01
1.657439808819935800e+00 7.683200536004521000e+15 7.337747199691024846e-01
1.701439904896838051e+00 8.311486711467137000e+15 7.249475992885955344e-01
1.746608072625254193e+00 8.991150371667705000e+15 7.161732978127655080e-01
1.792975320832548292e+00 9.726392859944866000e+15 7.074526255689270737e-01
1.840573481538194445e+00 1.052175908036107000e+16 6.987858972210642117e-01
1.889435231807083726e+00 1.138216559204331600e+16 6.901735256870890067e-01
1.939594116182973282e+00 1.231293100091105400e+16 6.816156332338674240e-01
1.991084569717455954e+00 1.331980883665740800e+16 6.731126055508480643e-01
2.043941941610301516e+00 1.440902311821360200e+16 6.646642149823860368e-01
2.098202519477375905e+00 1.558730682754427400e+16 6.562705694076335083e-01
2.153903554262786013e+00 1.686194352959928800e+16 6.479325309357149010e-01
2.211083285812383004e+00 1.824081239569650000e+16 6.396503294357068770e-01
2.269780969126170778e+00 1.973243690864758400e+16 6.314242605151078047e-01
2.330036901307612318e+00 2.134603755069702800e+16 6.232549881099354039e-01
2.391892449228385065e+00 2.309158879996619600e+16 6.151427909921668435e-01
2.455390077927551484e+00 2.497988078772560400e+16 6.070873106298865229e-01
2.520573379764621258e+00 2.702258599762942800e+16 5.990889034187526496e-01
2.587487104346563704e+00 2.923233141921503600e+16 5.911472452882313711e-01
2.656177189249282922e+00 3.162277660168378800e+16 5.832618270532818894e-01
