# logMs_low logMs_up counts dN_dVdlogM
1.049999999999998401e+01 1.059999999999998366e+01 6.556100000000000000e+04 1.384721270747988698e-03
1.059999999999998366e+01 1.069999999999998330e+01 6.338400000000000000e+04 1.338740608366109598e-03
1.069999999999998330e+01 1.079999999999998295e+01 6.122000000000000000e+04 1.293034520449533493e-03
1.079999999999998295e+01 1.089999999999998259e+01 5.848400000000000000e+04 1.235247156059629493e-03
1.089999999999998259e+01 1.099999999999998224e+01 5.230800000000000000e+04 1.104803163928033379e-03
1.099999999999998224e+01 1.109999999999998188e+01 4.250800000000000000e+04 8.978162593150730607e-04
1.109999999999998188e+01 1.119999999999998153e+01 3.027400000000000000e+04 6.394205663523224890e-04
1.119999999999998153e+01 1.129999999999998117e+01 1.870400000000000000e+04 3.950492922327356960e-04
1.129999999999998117e+01 1.139999999999998082e+01 9.807000000000000000e+03 2.071347524019695441e-04
1.139999999999998082e+01 1.149999999999998046e+01 4.359000000000000000e+03 9.206693032733610587e-05
1.149999999999998046e+01 1.159999999999998010e+01 1.829000000000000000e+03 3.863051515684738451e-05
1.159999999999998010e+01 1.169999999999997975e+01 6.180000000000000000e+02 1.305284765824586282e-05
1.169999999999997975e+01 1.179999999999997939e+01 1.790000000000000000e+02 3.780679176093866416e-06
1.179999999999997939e+01 1.189999999999997904e+01 4.300000000000000000e+01 9.082078467711522676e-07
1.189999999999997904e+01 1.199999999999997868e+01 1.000000000000000000e+01 2.112111271560819492e-07
1.199999999999997868e+01 1.209999999999997833e+01 1.000000000000000000e+00 2.112111271560819227e-08
1.209999999999997833e+01 1.219999999999997797e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.219999999999997797e+01 1.229999999999997762e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999997762e+01 1.239999999999997726e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.239999999999997726e+01 1.249999999999997691e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.249999999999997691e+01 1.259999999999997655e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.259999999999997655e+01 1.269999999999997620e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.269999999999997620e+01 1.279999999999997584e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.279999999999997584e+01 1.289999999999997549e+01 0.000000000000000000e+00 0.000000000000000000e+00
