# LX fraction
4.220000000000000284e+01 3.200432520233211786e-01
4.259999999999999432e+01 4.322429711077004910e-01
4.300000000000000000e+01 5.165672221203126968e-01
4.340000000000000568e+01 5.613820251884303891e-01
4.379999999999999716e+01 5.251199632941707662e-01
4.420000000000000284e+01 3.763978122535263093e-01
4.459999999999999432e+01 1.785015681469435678e-01
4.500000000000000000e+01 6.359189073616156040e-02
4.540000000000000568e+01 6.433933789520646096e-02
4.579999999999999716e+01 1.127149509535022992e-01
