# LX fraction
4.220000000000000284e+01 2.231216838492228183e-01
4.259999999999999432e+01 3.187705348275384765e-01
4.300000000000000000e+01 4.153314114387600120e-01
4.340000000000000568e+01 5.020582981465684380e-01
4.379999999999999716e+01 5.452010694464587415e-01
4.420000000000000284e+01 5.063559970115505404e-01
4.459999999999999432e+01 3.537455525940865764e-01
4.500000000000000000e+01 2.386561009502556341e-01
4.540000000000000568e+01 1.807053560355714739e-01
4.579999999999999716e+01 1.581606940216259694e-01
