# logMs_low logMs_up counts dN_dVdlogM
1.049999999999998401e+01 1.059999999999998366e+01 6.116500000000000000e+04 9.557031250000035116e-03
1.059999999999998366e+01 1.069999999999998330e+01 5.806700000000000000e+04 9.072968750000033264e-03
1.069999999999998330e+01 1.079999999999998295e+01 5.230900000000000000e+04 8.173281250000028614e-03
1.079999999999998295e+01 1.089999999999998259e+01 4.391900000000000000e+04 6.862343750000024674e-03
1.089999999999998259e+01 1.099999999999998224e+01 3.323400000000000000e+04 5.192812500000018594e-03
1.099999999999998224e+01 1.109999999999998188e+01 2.137100000000000000e+04 3.339218750000011882e-03
1.109999999999998188e+01 1.119999999999998153e+01 1.146800000000000000e+04 1.791875000000006353e-03
1.119999999999998153e+01 1.129999999999998117e+01 5.272000000000000000e+03 8.237500000000029738e-04
1.129999999999998117e+01 1.139999999999998082e+01 2.157000000000000000e+03 3.370312500000011754e-04
1.139999999999998082e+01 1.149999999999998046e+01 8.000000000000000000e+02 1.250000000000004363e-04
1.149999999999998046e+01 1.159999999999998010e+01 2.180000000000000000e+02 3.406250000000012322e-05
1.159999999999998010e+01 1.169999999999997975e+01 4.600000000000000000e+01 7.187500000000025628e-06
1.169999999999997975e+01 1.179999999999997939e+01 8.000000000000000000e+00 1.250000000000004337e-06
1.179999999999997939e+01 1.189999999999997904e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.189999999999997904e+01 1.199999999999997868e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.199999999999997868e+01 1.209999999999997833e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.209999999999997833e+01 1.219999999999997797e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.219999999999997797e+01 1.229999999999997762e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999997762e+01 1.239999999999997726e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.239999999999997726e+01 1.249999999999997691e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.249999999999997691e+01 1.259999999999997655e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.259999999999997655e+01 1.269999999999997620e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.269999999999997620e+01 1.279999999999997584e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.279999999999997584e+01 1.289999999999997549e+01 0.000000000000000000e+00 0.000000000000000000e+00
