# log_stellar_mass duty_cycle
7.249999999999995559e+00 2.150581829829343872e-01
7.349999999999995204e+00 2.148969507077421737e-01
7.449999999999994849e+00 2.146469916743426742e-01
7.549999999999994493e+00 2.086077347129232651e-01
7.649999999999994138e+00 2.059067094359149919e-01
7.749999999999993783e+00 2.033107212006824427e-01
7.849999999999993427e+00 2.002278123299606749e-01
7.949999999999993072e+00 1.988766096586011556e-01
8.049999999999993605e+00 1.955500467876943316e-01
8.149999999999991473e+00 1.939237597365276178e-01
8.249999999999992895e+00 1.895124889979034610e-01
8.349999999999990763e+00 1.882302731607309043e-01
8.449999999999992184e+00 1.865569504416741131e-01
8.549999999999990052e+00 1.834214434098341562e-01
8.649999999999991473e+00 1.808466743431549340e-01
8.749999999999989342e+00 1.785293627155336571e-01
8.849999999999990763e+00 1.769190091727817771e-01
8.949999999999988631e+00 1.734099224254957994e-01
9.049999999999990052e+00 1.713918859356355351e-01
9.149999999999987921e+00 1.681839364508168899e-01
9.249999999999989342e+00 1.656343177331394134e-01
9.349999999999987210e+00 1.625179267402064587e-01
9.449999999999988631e+00 1.583078079633909174e-01
9.549999999999986500e+00 1.549553881794627219e-01
9.649999999999987921e+00 1.512590610287609383e-01
9.749999999999985789e+00 1.459705227650463788e-01
9.849999999999987210e+00 1.412929497433268455e-01
9.949999999999985079e+00 1.353597848245742530e-01
1.004999999999998650e+01 1.277840863292441509e-01
1.014999999999998437e+01 1.200828671045974932e-01
1.024999999999998579e+01 1.113757867324766115e-01
1.034999999999998366e+01 1.008357131111027316e-01
1.044999999999998508e+01 8.930514370427687643e-02
1.054999999999998295e+01 7.809015326552094793e-02
1.064999999999998437e+01 6.600182496101722474e-02
1.074999999999998224e+01 5.545790102185532006e-02
1.084999999999998366e+01 4.750398282182306808e-02
1.094999999999998153e+01 4.340007573732963114e-02
1.104999999999998295e+01 4.299693747960590257e-02
1.114999999999998082e+01 4.515490334248852683e-02
1.124999999999998224e+01 5.225761837873557636e-02
1.134999999999998010e+01 6.347724247831096345e-02
1.144999999999998153e+01 7.884638556894420225e-02
1.154999999999997939e+01 9.189852495571057545e-02
1.164999999999998082e+01 1.054288966865946919e-01
1.174999999999997868e+01 9.816187808884967170e-02
1.184999999999998010e+01 2.582802064919273444e-01
1.194999999999997797e+01 5.920882362228230278e-02
