# log_stellar_mass duty_cycle
1.134999999999998010e+01 2.460310939697172780e-02
1.144999999999998153e+01 2.068986920292334789e-02
1.154999999999997939e+01 1.812748730864039218e-02
1.164999999999998082e+01 1.490412450802613108e-02
1.174999999999997868e+01 1.084912975528618852e-02
1.184999999999998010e+01 6.626399891640591053e-03
1.194999999999997797e+01 3.309445058942127055e-03
1.204999999999997939e+01 1.370615589546121281e-03
1.214999999999997726e+01 4.982149836154550065e-04
1.224999999999997868e+01 2.383450646426369421e-04
