# log_stellar_mass duty_cycle
9.749999999999985789e+00 1.497748764249197118e-01
9.849999999999987210e+00 1.433732772602790972e-01
9.949999999999985079e+00 1.379861433981853513e-01
1.004999999999998650e+01 1.293404811434802903e-01
1.014999999999998437e+01 1.211658025483021567e-01
1.024999999999998579e+01 1.125035260231801448e-01
1.034999999999998366e+01 1.014888734944828647e-01
1.044999999999998508e+01 9.047724801475405532e-02
1.054999999999998295e+01 7.858931807536780056e-02
1.064999999999998437e+01 6.610855361283141107e-02
1.074999999999998224e+01 5.491469409533084045e-02
1.084999999999998366e+01 4.642752020108400351e-02
1.094999999999998153e+01 4.188556928550037778e-02
1.104999999999998295e+01 4.187937997253720485e-02
1.114999999999998082e+01 4.579875531278440604e-02
1.124999999999998224e+01 5.324383027925273792e-02
1.134999999999998010e+01 6.427813322981247579e-02
1.144999999999998153e+01 8.008589553139627837e-02
1.154999999999997939e+01 9.570709721073848708e-02
1.164999999999998082e+01 1.174025140053367861e-01
1.174999999999997868e+01 1.327803956502452143e-01
1.184999999999998010e+01 1.528650848243395810e-01
1.194999999999997797e+01 2.223376817459959132e-01
