# logMs_low logMs_up counts dN_dVdlogM
8.199999999999992184e+00 8.299999999999991829e+00 3.590380000000000000e+05 5.609968750000019627e-02
8.299999999999991829e+00 8.399999999999991473e+00 3.276470000000000000e+05 5.119484375000018378e-02
8.399999999999991473e+00 8.499999999999991118e+00 2.980270000000000000e+05 4.656671875000016614e-02
8.499999999999991118e+00 8.599999999999990763e+00 2.705650000000000000e+05 4.227578125000015091e-02
8.599999999999990763e+00 8.699999999999990408e+00 2.468870000000000000e+05 3.857609375000013718e-02
8.699999999999990408e+00 8.799999999999990052e+00 2.258930000000000000e+05 3.529578125000012306e-02
8.799999999999990052e+00 8.899999999999989697e+00 2.049930000000000000e+05 3.203015625000011496e-02
8.899999999999989697e+00 8.999999999999989342e+00 1.881350000000000000e+05 2.939609375000010530e-02
8.999999999999989342e+00 9.099999999999988987e+00 1.721650000000000000e+05 2.690078125000009562e-02
9.099999999999988987e+00 9.199999999999988631e+00 1.567410000000000000e+05 2.449078125000008627e-02
9.199999999999988631e+00 9.299999999999988276e+00 1.432550000000000000e+05 2.238359375000007964e-02
9.299999999999988276e+00 9.399999999999987921e+00 1.317820000000000000e+05 2.059093750000007272e-02
9.399999999999987921e+00 9.499999999999987566e+00 1.204240000000000000e+05 1.881625000000006556e-02
9.499999999999987566e+00 9.599999999999987210e+00 1.102280000000000000e+05 1.722312500000006130e-02
9.599999999999987210e+00 9.699999999999986855e+00 1.013410000000000000e+05 1.583453125000005776e-02
9.699999999999986855e+00 9.799999999999986500e+00 9.396400000000000000e+04 1.468187500000005252e-02
9.799999999999986500e+00 9.899999999999986144e+00 8.686200000000000000e+04 1.357218750000004949e-02
9.899999999999986144e+00 9.999999999999985789e+00 8.087300000000000000e+04 1.263640625000004604e-02
9.999999999999985789e+00 1.009999999999998543e+01 7.567100000000000000e+04 1.182359375000004154e-02
1.009999999999998543e+01 1.019999999999998508e+01 7.148500000000000000e+04 1.116953125000003967e-02
1.019999999999998508e+01 1.029999999999998472e+01 6.793700000000000000e+04 1.061515625000003862e-02
1.029999999999998472e+01 1.039999999999998437e+01 6.458900000000000000e+04 1.009203125000003587e-02
1.039999999999998437e+01 1.049999999999998401e+01 6.047100000000000000e+04 9.448593750000032487e-03
1.049999999999998401e+01 1.059999999999998366e+01 5.585900000000000000e+04 8.727968750000031709e-03
1.059999999999998366e+01 1.069999999999998330e+01 5.082500000000000000e+04 7.941406250000027436e-03
1.069999999999998330e+01 1.079999999999998295e+01 4.383700000000000000e+04 6.849531250000024871e-03
1.079999999999998295e+01 1.089999999999998259e+01 3.450200000000000000e+04 5.390937500000018978e-03
1.089999999999998259e+01 1.099999999999998224e+01 2.464000000000000000e+04 3.850000000000013568e-03
1.099999999999998224e+01 1.109999999999998188e+01 1.634200000000000000e+04 2.553437500000009259e-03
1.109999999999998188e+01 1.119999999999998153e+01 9.983000000000000000e+03 1.559843750000005453e-03
1.119999999999998153e+01 1.129999999999998117e+01 4.861000000000000000e+03 7.595312500000027172e-04
1.129999999999998117e+01 1.139999999999998082e+01 2.151000000000000000e+03 3.360937500000012136e-04
1.139999999999998082e+01 1.149999999999998046e+01 8.280000000000000000e+02 1.293750000000004478e-04
1.149999999999998046e+01 1.159999999999998010e+01 2.840000000000000000e+02 4.437500000000015705e-05
1.159999999999998010e+01 1.169999999999997975e+01 8.600000000000000000e+01 1.343750000000004880e-05
1.169999999999997975e+01 1.179999999999997939e+01 2.200000000000000000e+01 3.437500000000012404e-06
1.179999999999997939e+01 1.189999999999997904e+01 3.000000000000000000e+00 4.687500000000016530e-07
1.189999999999997904e+01 1.199999999999997868e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.199999999999997868e+01 1.209999999999997833e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.209999999999997833e+01 1.219999999999997797e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.219999999999997797e+01 1.229999999999997762e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999997762e+01 1.239999999999997726e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.239999999999997726e+01 1.249999999999997691e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.249999999999997691e+01 1.259999999999997655e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.259999999999997655e+01 1.269999999999997620e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.269999999999997620e+01 1.279999999999997584e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.279999999999997584e+01 1.289999999999997549e+01 0.000000000000000000e+00 0.000000000000000000e+00
