#  R_hMpc M_hMsun sigma
4.642122017105015583e-03 1.000000000000001192e+08 4.309321128292921799e+00
4.765356546447440354e-03 1.081774017548857480e+08 4.293942261611049638e+00
4.891862585923866143e-03 1.170235025043791085e+08 4.278192282497340848e+00
5.021726984395688022e-03 1.265929844518008083e+08 4.262103026806451034e+00
5.155038896303185125e-03 1.369450013839244545e+08 4.245682426987929858e+00
5.291889842871791601e-03 1.481435443303211629e+08 4.228924137326184329e+00
5.432373774943220594e-03 1.602578371241386235e+08 4.211821268313078903e+00
5.576587137474512713e-03 1.733627643094696999e+08 4.194356057454445619e+00
5.724628935749397941e-03 1.875393340404299200e+08 4.176501512887269563e+00
5.876600803347367848e-03 2.028751788333528936e+08 4.158244689156610718e+00
6.032607071917072718e-03 2.194650972674987316e+08 4.139586410814214190e+00
6.192754842802059012e-03 2.374116399828126132e+08 4.120536758384470311e+00
6.357154060567911207e-03 2.568257435970691144e+08 4.101133527769452058e+00
6.525917588481367805e-03 2.778274164609739780e+08 4.081436897350179116e+00
6.699161285993105418e-03 3.005464804902060032e+08 4.061516816217395132e+00
6.877004088277567477e-03 3.251233736600591540e+08 4.041460627424407370e+00
7.059568087884224644e-03 3.517100181232801080e+08 4.021354979299689880e+00
7.246978618556523984e-03 3.804707593174018264e+08 4.001276591951406836e+00
7.439364341275925448e-03 4.115833818666484356e+08 3.981295603395609728e+00
7.636857332590207478e-03 4.452402085582293868e+08 3.961461445806502280e+00
7.839593175286542828e-03 4.816492891863263249e+08 3.941816628697306868e+00
8.047711051471749533e-03 5.210356866126415133e+08 3.922398534253877411e+00
8.261353838123541848e-03 5.636428679932841063e+08 3.903249483823518329e+00
8.480668205178310340e-03 6.097342097718546391e+08 3.884427696031105715e+00
8.705804716222915324e-03 6.595946257418738604e+08 3.866004213115955324e+00
8.936917931859557351e-03 7.135323282424212694e+08 3.848065275722203360e+00
9.174166515814577774e-03 7.718807333737931252e+08 3.830694462193463767e+00
9.417713343864235129e-03 8.350005220103235245e+08 3.813965634438055030e+00
9.667725615652118104e-03 9.032818693504995108e+08 3.797925459134834369e+00
9.924374969474918443e-03 9.771468567863310575e+08 3.782594618826805366e+00
1.018783760011547981e-02 1.057052081000984311e+09 3.767968392303485459e+00
1.045829437980397118e-02 1.143491476422811985e+09 3.754030943967185951e+00
1.073593098239017905e-02 1.236999368482778788e+09 3.740764474898008896e+00
1.102093801081220972e-02 1.338153776549011707e+09 3.728152418503749121e+00
1.131351112794915480e-02 1.447579986955596685e+09 3.716173333560949477e+00
1.161385119094745025e-02 1.565954418212276220e+09 3.704784128673030086e+00
1.192216438911321112e-02 1.694008802287873268e+09 3.693909771607601034e+00
1.223866238546523523e-02 1.832534707814075708e+09 3.683441716662518406e+00
1.256356246204577871e-02 1.982388433169752359e+09 3.673250219213821666e+00
1.289708766908888998e-02 2.144496299692421675e+09 3.663203634358221716e+00
1.323946697814878254e-02 2.319860377736923695e+09 3.653178793866691532e+00
1.359093543929324778e-02 2.509564680976878643e+09 3.643056806615339482e+00
1.395173434247008910e-02 2.714781867239068508e+09 3.632710817558290284e+00
1.432211138315740880e-02 2.936780487291987896e+09 3.622000294042468926e+00
1.470232083241137036e-02 3.176932826396940708e+09 3.610782699808119389e+00
1.509262371142820226e-02 3.436723387094257355e+09 3.598936404410077117e+00
1.549328797074038186e-02 3.717758065661062241e+09 3.586375251405119702e+00
1.590458867416987693e-02 4.021774078964830875e+09 3.573042684885950226e+00
1.632680818766479858e-02 4.350650703075629234e+09 3.558896405650252337e+00
1.676023637314917256e-02 4.706420890017873764e+09 3.543906429029199945e+00
1.720517078751876774e-02 5.091283834470498085e+09 3.528071986071180444e+00
1.766191688691970060e-02 5.507618568096695900e+09 3.511434835896613205e+00
1.813078823645003154e-02 5.957998665536623955e+09 3.494067349171025683e+00
1.861210672542837688e-02 6.445208152968277931e+09 3.476047538772276901e+00
1.910620278837709199e-02 6.972258717575135231e+09 3.457452107823384857e+00
1.961341563187208106e-02 7.542408324301280022e+09 3.438368540930942796e+00
2.013409346741472025e-02 8.159181354973319054e+09 3.418892597911733944e+00
2.066859375048582526e-02 8.826390394279207230e+09 3.399101016088444283e+00
2.121728342594577862e-02 9.548159797274038315e+09 3.331927168624885915e+00
2.178053917994937985e-02 1.032895118409559059e+10 3.315953993932510446e+00
2.235874769854821059e-02 1.117359101948510361e+10 3.304786667285820823e+00
2.295230593315810211e-02 1.208730044759620476e+10 3.287582691370701138e+00
2.356162137307408685e-02 1.307572756651621246e+10 3.270361028975075079e+00
2.418711232521971594e-02 1.414498234200457191e+10 3.274821834454751723e+00
2.482920820132286308e-02 1.530167437626789093e+10 3.235926842786637003e+00
2.548834981271532948e-02 1.655295376523968315e+10 3.218750336507540943e+00
2.616498967295836225e-02 1.790655529692379379e+10 3.201613707246566243e+00
2.685959230850201718e-02 1.937084626401398087e+10 3.192359015988913029e+00
2.757263457759166758e-02 2.095487818634361649e+10 3.167455774313039818e+00
2.830460599764047375e-02 2.266844276288782883e+10 3.150397974103627430e+00
2.905600908129255325e-02 2.452213239918542099e+10 3.133326023328696142e+00
2.982735968140782026e-02 2.652740568433175278e+10 3.116235673921659899e+00
3.061918734520495400e-02 2.869665822228791809e+10 3.099139196903248461e+00
3.143203567780586405e-02 3.104329925535076904e+10 3.082050900197401688e+00
3.226646271543127248e-02 3.358183455343216324e+10 3.064980340613649989e+00
3.312304130850343004e-02 3.632795608152732849e+10 3.047938058997390787e+00
3.400235951491901998e-02 3.929863899965221405e+10 3.030931354650436393e+00
3.490502100376242922e-02 4.251224659485579681e+10 3.013964606364221588e+00
3.583164546973643949e-02 4.598864379394484711e+10 2.997037009597696144e+00
3.678286905859448619e-02 4.974931995859897614e+10 2.980138924970378689e+00
3.775934480386727854e-02 5.381752172193704987e+10 2.963779102081035788e+00
3.876174307518302081e-02 5.821839668766259003e+10 2.946843013048480842e+00
3.979075203848923131e-02 6.297914888006576538e+10 2.929663376949572129e+00
4.084707812849198982e-02 6.812920690579619598e+10 2.904194197307268688e+00
4.193144653363724966e-02 7.370040586690032959e+10 2.893940747460326257e+00
4.304460169396679553e-02 7.972718414961805725e+10 2.874337032754020083e+00
4.418730781219075421e-02 8.624679630538970947e+10 2.858435035188093831e+00
4.536034937832778002e-02 9.329954333999908447e+10 2.843661592104099078e+00
4.656453170827271060e-02 1.009290218343844452e+11 2.826003213752792398e+00
4.780068149666150124e-02 1.091823934370581512e+11 2.809619358653999033e+00
4.906964738441335627e-02 1.181106763940060577e+11 2.793174131632603086e+00
5.037230054133922524e-02 1.277690609181567993e+11 2.776688520077617017e+00
5.170953526421673274e-02 1.382172503478788452e+11 2.760457818762686255e+00
5.308226959074251183e-02 1.495198302033807068e+11 2.743893553725345491e+00
5.449144592978290291e-02 1.617466674223339539e+11 2.727405914716818813e+00
5.593803170835593558e-02 1.749733422425966492e+11 2.710898652759651917e+00
5.742302003578894642e-02 1.892816154017244873e+11 2.694418557463096331e+00
5.894743038550746134e-02 2.047599335412609558e+11 2.677991448297387667e+00
6.051230929492344701e-02 2.215039759399663391e+11 2.661555689642789879e+00
6.211873108390383869e-02 2.396172459556225281e+11 2.645149298160105467e+00
6.376779859231186676e-02 2.592117108314058533e+11 2.628754630824169158e+00
6.546064393712826279e-02 2.804084938218018188e+11 2.612389480006241271e+00
6.719842928967161011e-02 3.033386229164342651e+11 2.596067645318500539e+00
6.898234767345143292e-02 3.281438407900480347e+11 2.579785907420543811e+00
7.081362378320234241e-02 3.549774809853619385e+11 2.563529480390076998e+00
7.269351482566070721e-02 3.840054157449076538e+11 2.547293742449786347e+00
7.462331138266146968e-02 4.154070813508869019e+11 2.531079402764087494e+00
7.660433829714795306e-02 4.493765873111928101e+11 2.514889915448380364e+00
7.863795558270224306e-02 4.861239162480233765e+11 2.498852752191274451e+00
8.072555935722090792e-02 5.258762219062070923e+11 2.482495289756966095e+00
8.286858280137741894e-02 5.688792333048918457e+11 2.466439152824813519e+00
8.506849714252823214e-02 6.153987737123448486e+11 2.450422389833412318e+00
8.732681266473944770e-02 6.657224038334417725e+11 2.434417811528412745e+00
8.964507974562599402e-02 7.201611993671842041e+11 2.418463560827676773e+00
9.202488992071607143e-02 7.790516739222407227e+11 2.402512747063494380e+00
9.446787697607142431e-02 8.427578591770223389e+11 2.386595617607110142e+00
9.697571806991334142e-02 9.116735551428007812e+11 2.370719953305373107e+00
9.955013488402415789e-02 9.862247644398745117e+11 2.354875411265574314e+00
1.021928948057157782e-01 1.066872325634295898e+12 2.339068748147095977e+00
1.049058121411752531e-01 1.154114761913103760e+12 2.323285238155872179e+00
1.076907493610212430e-01 1.248491362707178223e+12 2.307537573960843691e+00
1.105496183789266840e-01 1.350585517310788330e+12 2.291834191011349109e+00
1.134843818641846219e-01 1.461028321104592041e+12 2.276149915882858199e+00
1.164970545891187564e-01 1.580502476673972412e+12 2.260505796886993934e+00
1.195897048122643302e-01 1.709746513937520264e+12 2.244903068694683146e+00
1.227644556982674245e-01 1.849559355372339844e+12 2.229329368624928698e+00
1.260234867754792820e-01 2.000805254556205811e+12 2.213791171085533804e+00
1.293690354322448444e-01 2.164419138554128906e+12 2.198286487293288349e+00
1.328033984529131961e-01 2.341412387173330566e+12 2.182819637970119686e+00
1.363289335946252512e-01 2.532879084811148926e+12 2.167388089582784172e+00
1.399480612059596785e-01 2.740002783541625488e+12 2.151992796845952682e+00
1.436632658885493297e-01 2.964063819246870605e+12 2.136632925490195234e+00
1.474770982028088262e-01 3.206447226017887207e+12 2.121311838110718995e+00
1.513921764189440911e-01 3.468651297747755859e+12 2.106020829817247808e+00
1.554111883144453921e-01 3.752296849840638184e+12 2.090777546987746316e+00
1.595368930192996304e-01 4.059137238288023926e+12 2.078870441181232209e+00
