# Matter power spectrum P(k) at redshift z=0.092657
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039457253733e+03       2.505133015520e-07 
       1.308599151198e+03       1.209072805309e-07 
       1.647428725296e+03       5.768404775454e-08 
       2.073989886394e+03       2.920915341450e-08 
       2.610998571786e+03       1.449217571080e-08 
       3.287052452180e+03       7.465353665127e-09 
       4.138153861949e+03       3.786412578111e-09 
       5.209627054722e+03       1.942828528211e-09 
       6.558531885160e+03       1.001615606093e-09 
       8.256702454290e+03       5.120378488478e-10 
       1.039457253733e+04       2.647948857132e-10 
       1.308599151198e+04       1.355105453271e-10 
       1.647428725296e+04       6.815959683954e-11 
       2.073989886394e+04       3.387557434940e-11 
       2.610998571786e+04       1.713167534039e-11 
       3.287052452180e+04       3.094832853808e-11 
       4.138153861949e+04       1.128240043812e-09 
       5.209627054722e+04       3.813265599459e-08 
       6.558531885160e+04       1.505414552169e-02 
       8.256702454290e+04       1.000444820949e+01 
       1.039457253733e+05       6.397182861162e+04 
