# Matter power spectrum P(k) at redshift z=0.688049
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       2.683656850054e+01 
       1.307253015860e-05       3.347545128716e+01 
       1.645734041311e-05       4.175660942686e+01 
       2.071856405662e-05       5.208631496549e+01 
       2.608312678676e-05       6.497122595246e+01 
       3.283671113090e-05       8.104327380695e+01 
       4.133897008243e-05       1.010905321056e+02 
       5.204267993417e-05       1.260956760198e+02 
       6.551785226700e-05       1.572837655560e+02 
       8.248208914511e-05       1.961815183157e+02 
       1.038387980426e-04       2.446905819850e+02 
       1.307253015860e-04       3.051776140710e+02 
       1.645734041311e-04       3.805841360601e+02 
       2.071856405662e-04       4.745586931761e+02 
       2.608312678676e-04       5.916125553064e+02 
       3.283671113090e-04       7.372971154912e+02 
       4.133897008243e-04       9.183955602168e+02 
       5.204267993417e-04       1.143113065533e+03 
       6.551785226700e-04       1.421240356592e+03 
       8.248208914511e-04       1.764257486590e+03 
       1.038387980426e-03       2.185328270773e+03 
       1.307253015860e-03       2.699065394649e+03 
       1.645734041311e-03       3.320728202979e+03 
       2.071856405662e-03       4.064963260438e+03 
       2.608312678676e-03       4.943326870884e+03 
       3.283671113090e-03       5.960820418810e+03 
       4.133897008243e-03       7.111208463012e+03 
       5.204267993417e-03       8.370676997846e+03 
       6.551785226700e-03       9.690011971183e+03 
       8.248208914511e-03       1.098756174960e+04 
       1.038387980426e-02       1.213876778485e+04 
       1.307253015860e-02       1.297447739443e+04 
       1.645734041309e-02       1.328777341300e+04 
       2.071856389740e-02       1.287657312041e+04 
       2.608300445243e-02       1.164936575623e+04 
       3.281964991556e-02       9.793974103898e+03 
       4.076731882098e-02       7.943176497908e+03 
       4.748610964640e-02       6.883183409839e+03 
       5.235556489500e-02       6.363044476184e+03 
       5.636819838611e-02       6.038980153860e+03 
       5.994952259956e-02       5.794543345266e+03 
       6.328896038018e-02       5.580773455884e+03 
       6.648665992189e-02       5.373637600478e+03 
       6.960262323712e-02       5.160021199926e+03 
       7.267623995969e-02       4.933722426386e+03 
       7.573525737584e-02       4.693130823812e+03 
       7.880036892493e-02       4.440576007286e+03 
       8.188776255393e-02       4.180245361727e+03 
       8.501063007773e-02       3.918756790502e+03 
       8.818010842318e-02       3.663266259180e+03 
       9.140589175815e-02       3.421037772948e+03 
       9.469664359045e-02       3.198445893737e+03 
       9.806028224808e-02       3.000468008401e+03 
       1.015041833512e-01       2.830208902545e+03 
       1.050353261720e-01       2.688088407360e+03 
       1.086604010236e-01       2.572326608175e+03 
       1.123858889329e-01       2.478797906016e+03 
       1.162181211904e-01       2.401141328532e+03 
       1.201633240441e-01       2.331523300202e+03 
       1.242276522951e-01       2.261629406166e+03 
       1.284172145558e-01       2.183691153755e+03 
       1.327380922745e-01       2.092164305157e+03 
       1.371963541906e-01       1.985141221774e+03 
       1.417980675894e-01       1.864861406451e+03 
       1.465493075383e-01       1.737164706714e+03 
       1.514561651563e-01       1.610585097902e+03 
       1.565247558934e-01       1.493777161242e+03 
       1.617612287437e-01       1.393570027832e+03 
       1.671717772872e-01       1.313176355147e+03 
       1.727626534338e-01       1.251500277830e+03 
       1.785401847321e-01       1.203178698902e+03 
       1.845107960933e-01       1.160549413449e+03 
       1.906810367808e-01       1.115024258038e+03 
       1.970576135147e-01       1.060088970053e+03 
       2.036474305566e-01       9.946714023452e+02 
       2.104576376707e-01       9.235316124891e+02 
       2.174956869163e-01       8.542164248004e+02 
       2.247693993211e-01       7.934985880362e+02 
       2.322870426350e-01       7.448096710759e+02 
       2.400574215756e-01       7.071391125931e+02 
       2.480899822819e-01       6.751884558669e+02 
       2.563949331083e-01       6.423863510511e+02 
       2.649833844501e-01       6.048144218237e+02 
       2.738675110412e-01       5.631383479345e+02 
       2.830607411522e-01       5.218314908293e+02 
       2.925779784269e-01       4.859106574333e+02 
       3.024358638260e-01       4.567603212872e+02 
       3.126530874568e-01       4.318447771156e+02 
       3.232507631655e-01       4.071755698066e+02 
       3.342528829678e-01       3.804917526260e+02 
       3.456868741616e-01       3.533005310805e+02 
       3.575842899774e-01       3.284193451377e+02 
       3.699816759319e-01       3.071310712067e+02 
       3.829216702507e-01       2.877902134992e+02 
       3.964544203492e-01       2.683854980770e+02 
       4.106394324383e-01       2.488226781888e+02 
       4.255480244689e-01       2.305659927366e+02 
       4.412666349754e-01       2.140896297647e+02 
       4.579013710836e-01       1.985011805440e+02 
       4.755843921419e-01       1.830547065331e+02 
       4.944830838092e-01       1.683217614796e+02 
       5.148136006390e-01       1.546457024690e+02 
       5.368614811649e-01       1.413468254959e+02 
       5.610141638893e-01       1.284667336266e+02 
       5.878144430577e-01       1.161472678971e+02 
       6.180527285099e-01       1.040688519885e+02 
       6.529356760506e-01       9.224888244012e+01 
       6.944158716649e-01       8.048247102477e+01 
       7.458878060771e-01       6.861921271631e+01 
       8.137756820931e-01       5.640513288116e+01 
       9.112857638517e-01       4.360602641870e+01 
       1.065396821454e+00       3.042266160155e+01 
       1.310859802664e+00       1.872099124660e+01 
       1.647471546876e+00       1.085811867867e+01 
       2.073990047125e+00       6.215936830337e+00 
       2.610998571871e+00       3.529133219923e+00 
       3.287052452179e+00       1.988887651526e+00 
       4.138153861949e+00       1.113225244716e+00 
       5.209627054722e+00       6.193008131226e-01 
       6.558531885160e+00       3.425892257313e-01 
       8.256702454290e+00       1.885377041728e-01 
       1.039457253733e+01       1.032657311736e-01 
       1.308599151198e+01       5.631165000212e-02 
       1.647428725296e+01       3.058095141305e-02 
       2.073989886394e+01       1.654374137263e-02 
       2.610998571786e+01       8.916636625945e-03 
       3.287052452179e+01       4.788682185636e-03 
       4.138153861949e+01       2.562418224433e-03 
       5.209627054722e+01       1.365902384988e-03 
       6.558531885160e+01       7.250331168530e-04 
       8.256702454290e+01       3.829155341007e-04 
       1.039457253733e+02       2.009565157355e-04 
       1.308599151198e+02       1.045808473944e-04 
       1.647428725296e+02       5.380268643775e-05 
       2.073989886394e+02       2.724138856960e-05 
       2.610998571786e+02       1.349819620914e-05 
       3.287052452179e+02       6.506626065011e-06 
       4.138153861949e+02       3.040821588151e-06 
       5.209627054722e+02       1.384094377066e-06 
       6.558531885160e+02       6.252856464278e-07 
       8.256702454290e+02       2.895063768078e-07 
       1.039457253733e+03       1.404971910275e-07 
       1.308599151198e+03       6.944379126991e-08 
       1.647428725296e+03       3.333859412495e-08 
       2.073989886394e+03       1.645567018297e-08 
       2.610998571786e+03       8.488802872571e-09 
       3.287052452180e+03       4.231219870866e-09 
       4.138153861949e+03       2.159726186066e-09 
       5.209627054722e+03       1.114685135330e-09 
       6.558531885160e+03       5.691371426739e-10 
       8.256702454290e+03       2.988698271077e-10 
       1.039457253733e+04       1.519426956071e-10 
       1.308599151198e+04       8.086407708116e-11 
       1.647428725296e+04       4.263579392300e-11 
       2.073989886394e+04       1.900893870051e-11 
       2.610998571786e+04       1.550393244691e-11 
       3.287052452180e+04       4.651805783864e-11 
       4.138153861949e+04       1.277960358302e-09 
       5.209627054722e+04       2.853640418000e-09 
       6.558531885160e+04       6.263913490783e-05 
       8.256702454290e+04       1.824429999840e-02 
       1.039457253733e+05       2.493741191153e+06 
