#  R_hMpc M_hMsun sigma
7.326385902434796524e-03 1.000000000000001341e+08 8.378842454792785333e+00
7.520879652306236215e-03 1.081774017548857480e+08 8.337031596353220664e+00
7.720536632622093665e-03 1.170235025043791085e+08 8.295565902774178824e+00
7.925493911790183754e-03 1.265929844518008083e+08 8.254532242007710963e+00
8.135892196976753088e-03 1.369450013839244246e+08 8.214006703326132808e+00
8.351875930704711140e-03 1.481435443303211927e+08 8.174094037521442146e+00
8.573593390016258017e-03 1.602578371241385639e+08 8.134925087915211961e+00
8.801196788267923871e-03 1.733627643094696403e+08 8.096666053728633017e+00
9.034842379628019518e-03 1.875393340404299498e+08 8.059497604846884045e+00
9.274690566348196136e-03 2.028751788333528042e+08 8.023591193070064520e+00
9.520906008882673230e-03 2.194650972674988210e+08 7.989079202492230358e+00
9.773657738930869449e-03 2.374116399828126132e+08 7.956038155150286784e+00
1.003311927548095582e-02 2.568257435970691741e+08 7.924485315374946381e+00
1.029946874393404543e-02 2.778274164609739780e+08 7.894400011897000802e+00
1.057288899839070075e-02 3.005464804902064204e+08 7.865742849979014295e+00
1.085356774718389088e-02 3.251233736600590944e+08 7.838480168327349062e+00
1.114169768174439260e-02 3.517100181232802272e+08 7.812574641345339188e+00
1.143747660888719958e-02 3.804707593174011707e+08 7.787966588951121594e+00
1.174110758660979435e-02 4.115833818666483760e+08 7.764540665337748671e+00
1.205279906349539590e-02 4.452402085582292676e+08 7.742107266356060613e+00
1.237276502181696228e-02 4.816492891863257289e+08 7.720416344341070491e+00
1.270122512444022030e-02 5.210356866126415730e+08 7.699189962287254829e+00
1.303840486562649233e-02 5.636428679932838678e+08 7.678157408777176229e+00
1.338453572583888328e-02 6.097342097718536854e+08 7.657066807746497616e+00
1.373985533065815411e-02 6.595946257418740988e+08 7.635665386643990971e+00
1.410460761391731273e-02 7.135323282424213886e+08 7.613674340428064902e+00
1.447904298516690912e-02 7.718807333737920523e+08 7.590791636866959458e+00
1.486341850158613177e-02 8.350005220103245974e+08 7.566730660126020247e+00
1.525799804445750196e-02 9.032818693504996300e+08 7.541265966704112422e+00
1.566305250032658247e-02 9.771468567863306999e+08 7.514246334649624437e+00
1.607885994697081516e-02 1.057052081000984788e+09 7.485568757433382459e+00
1.650570584430536766e-02 1.143491476422812700e+09 7.455152925169501010e+00
1.694388323035692784e-02 1.236999368482778788e+09 7.422956034500395539e+00
1.739369292243998777e-02 1.338153776549011469e+09 7.389012808167438884e+00
1.785544372367383475e-02 1.447579986955596685e+09 7.353443672335849612e+00
1.832945263498188954e-02 1.565954418212276697e+09 7.316410857414753721e+00
1.881604507271899401e-02 1.694008802287873507e+09 7.278075288928098630e+00
1.931555509207613305e-02 1.832534707814076185e+09 7.238604245888934585e+00
1.982832561641580463e-02 1.982388433169752359e+09 7.198193013705075138e+00
2.035470867269556505e-02 2.144496299692422152e+09 7.157033703564309235e+00
2.089506563314144638e-02 2.319860377736924648e+09 7.011625045959584135e+00
2.144976746333700571e-02 2.509564680976879597e+09 6.977728401000870662e+00
2.201919497689840480e-02 2.714781867239067554e+09 6.944453752007167857e+00
2.260373909691043223e-02 2.936780487291987896e+09 6.919783166109667150e+00
2.320380112430278641e-02 3.176932826396941662e+09 6.883664152677050119e+00
2.381979301335095806e-02 3.436723387094256878e+09 6.847518513859174760e+00
2.445213765449092899e-02 3.717758065661062241e+09 6.852993317688437891e+00
2.510126916464166733e-02 4.021774078964831829e+09 6.775296005476177719e+00
2.576763318523481519e-02 4.350650703075629234e+09 6.739285866729436414e+00
2.645168718815629066e-02 4.706420890017872810e+09 6.703364152647443674e+00
2.715390078980961172e-02 5.091283834470498085e+09 6.685290218697952369e+00
2.787475607351668286e-02 5.507618568096695900e+09 6.631730244100655369e+00
2.861474792047740898e-02 5.957998665536623955e+09 6.595926980016918684e+00
2.937438434951537142e-02 6.445208152968276978e+09 6.560086024780621194e+00
3.015418686584249094e-02 6.972258717575135231e+09 6.524213672423346821e+00
3.095469081908261075e-02 7.542408324301280022e+09 6.488342741089279997e+00
3.177644577079945937e-02 8.159181354973320961e+09 6.452497552953556870e+00
3.262001587178135070e-02 8.826390394279207230e+09 6.416698476118407157e+00
