#  R_hMpc M_hMsun sigma
5.143878173184797398e-03 1.000000000000001192e+08 4.822987676080514596e+00
5.280432835757523785e-03 1.081774017548857480e+08 4.803988817510092879e+00
5.420612618374408970e-03 1.170235025043790787e+08 4.784599525239952911e+00
5.564513757187984286e-03 1.265929844518008381e+08 4.764801127180217755e+00
5.712235043134310762e-03 1.369450013839244843e+08 4.744562825634161207e+00
5.863877889754903414e-03 1.481435443303211629e+08 4.723868077559960632e+00
6.019546402819119825e-03 1.602578371241386235e+08 4.702717127959051169e+00
6.179347451794761290e-03 1.733627643094697297e+08 4.681119854371464939e+00
6.343390743216065046e-03 1.875393340404299498e+08 4.659116174253819409e+00
6.511788895999398065e-03 2.028751788333528042e+08 4.636773287988600778e+00
6.684657518758298569e-03 2.194650972674987316e+08 4.614169354986564109e+00
6.862115289171067528e-03 2.374116399828126431e+08 4.591402219937241291e+00
7.044284035455292831e-03 2.568257435970691442e+08 4.568571380499045098e+00
7.231288820005326440e-03 2.778274164609739184e+08 4.545764387986094945e+00
7.423258025250002029e-03 3.005464804902060628e+08 4.523062234733822073e+00
7.620323441789734163e-03 3.251233736600591540e+08 4.500522799627804105e+00
7.822620358873280666e-03 3.517100181232799888e+08 4.478194448895575164e+00
8.030287657276483776e-03 3.804707593174018860e+08 4.456120282488113205e+00
8.243467904646599800e-03 4.115833818666483760e+08 4.434346826182107293e+00
8.462307453377816702e-03 4.452402085582292676e+08 4.412939170427358171e+00
8.686956541084964178e-03 4.816492891863262057e+08 4.391976245721396666e+00
8.917569393744594411e-03 5.210356866126415133e+08 4.371555481510562835e+00
9.154304331574141668e-03 5.636428679932841063e+08 4.351772155457751978e+00
9.397323877721788440e-03 6.097342097718545198e+08 4.332712055734607937e+00
9.646794869841797751e-03 6.595946257418739796e+08 4.314430632708074143e+00
9.902888574631845894e-03 7.135323282424212694e+08 4.296954158867327678e+00
1.016578080541087961e-02 7.718807333737920523e+08 4.280278804789887204e+00
1.043565204281845203e-02 8.350005220103245974e+08 4.264387515152025188e+00
1.071268755871814665e-02 9.032818693504995108e+08 4.249259617254394605e+00
1.099707754339036836e-02 9.771468567863308191e+08 4.234876559362011683e+00
1.128901723610163492e-02 1.057052081000984788e+09 4.221214996848151380e+00
1.158870705914016690e-02 1.143491476422812223e+09 4.208228526438611006e+00
1.189635275540969379e-02 1.236999368482778788e+09 4.195835426552813274e+00
1.221216552967593731e-02 1.338153776549011707e+09 4.183915053599538858e+00
1.253636219356283645e-02 1.447579986955596685e+09 4.172321243486894815e+00
1.286916531439793662e-02 1.565954418212276220e+09 4.160904138019126286e+00
1.321080336800918055e-02 1.694008802287873507e+09 4.149522931357687128e+00
1.356151089557804633e-02 1.832534707814075708e+09 4.138042667824651133e+00
1.392152866465663080e-02 1.982388433169752121e+09 4.126320579843838487e+00
1.429110383445923727e-02 2.144496299692421913e+09 4.114198161774007545e+00
1.467049012554203641e-02 2.319860377736924171e+09 4.101512754724552678e+00
1.505994799398715188e-02 2.509564680976879120e+09 4.088123345765980687e+00
1.545974481021081780e-02 2.714781867239068508e+09 4.073928716200215128e+00
1.587015504251841624e-02 2.936780487291988373e+09 4.058862563077207497e+00
1.629146044553230269e-02 3.176932826396940708e+09 4.042875943372211012e+00
1.672395025362181931e-02 3.436723387094257832e+09 4.025933110555103056e+00
1.716792137946836910e-02 3.717758065661062241e+09 4.008029582706531535e+00
1.762367861790174045e-02 4.021774078964830875e+09 3.989208872256902350e+00
1.809153485514767082e-02 4.350650703075631142e+09 3.969551407372014395e+00
1.857181128363038017e-02 4.706420890017872810e+09 3.949145993272213051e+00
1.906483762247742145e-02 5.091283834470499039e+09 3.928079424865566605e+00
1.957095234387824789e-02 5.507618568096695900e+09 3.906449670277386765e+00
2.009050290545199430e-02 5.957998665536622047e+09 3.884365672675093251e+00
2.062384598878396272e-02 6.445208152968277931e+09 3.861917538542017692e+00
2.117134774429435540e-02 6.972258717575135231e+09 3.785278931716250739e+00
2.173338404260776249e-02 7.542408324301280022e+09 3.767111958207208566e+00
2.231034073259566611e-02 8.159181354973319054e+09 3.754556957041680576e+00
2.290261390626919732e-02 8.826390394279207230e+09 3.735022071692026824e+00
2.351061017070397996e-02 9.548159797274040222e+09 3.715466175505723889e+00
2.413474692718388381e-02 1.032895118409559441e+10 3.720941970145963840e+00
2.477545265775510722e-02 1.117359101948510361e+10 3.676359591011404859e+00
2.543316721938741753e-02 1.208730044759620476e+10 3.656850380464187200e+00
