#  R_hMpc M_hMsun sigma
4.302572123110336329e-03 1.000000000000001341e+08 3.980610898124843366e+00
4.416792612920728174e-03 1.081774017548857778e+08 3.967723856381912828e+00
4.534045316932116404e-03 1.170235025043790936e+08 3.954394539581270962e+00
4.654410731410776013e-03 1.265929844518008381e+08 3.940661727921261459e+00
4.777971489559361580e-03 1.369450013839244545e+08 3.926557597016715029e+00
4.904812418246228163e-03 1.481435443303212225e+08 3.912117545165650689e+00
5.035020596240740234e-03 1.602578371241386533e+08 3.897368939427666934e+00
5.168685413994518474e-03 1.733627643094696999e+08 3.882316892214430659e+00
5.305898635009737366e-03 1.875393340404299498e+08 3.866955329463733992e+00
5.446754458836577939e-03 2.028751788333528936e+08 3.851277590210576030e+00
5.591349585743018123e-03 2.194650972674988508e+08 3.835265956009909161e+00
5.739783283101476327e-03 2.374116399828127325e+08 3.818896128062299056e+00
5.892157453537784882e-03 2.568257435970691741e+08 3.802158047432802945e+00
6.048576704889350834e-03 2.778274164609739184e+08 3.785053075233231645e+00
6.209148422020435362e-03 3.005464804902061224e+08 3.767592191700735338e+00
6.373982840544000980e-03 3.251233736600591540e+08 3.749812855011080526e+00
6.543193122500568816e-03 3.517100181232801676e+08 3.731771089604351221e+00
6.716895434046187517e-03 3.804707593174018860e+08 3.713532267786817442e+00
6.895209025202747241e-03 4.115833818666484356e+08 3.695177404095383089e+00
7.078256311725478547e-03 4.452402085582293868e+08 3.676784601364109228e+00
7.266162959143705052e-03 4.816492891863264441e+08 3.658423699833080356e+00
7.459057969032701144e-03 5.210356866126416326e+08 3.640157343839714787e+00
7.657073767575812290e-03 5.636428679932841063e+08 3.622029229216914281e+00
7.860346296477563680e-03 6.097342097718547583e+08 3.604078123930248179e+00
8.069015106290308714e-03 6.595946257418742180e+08 3.586337685536499009e+00
8.283223452218435590e-03 7.135323282424216270e+08 3.568848253841884866e+00
8.503118392465798189e-03 7.718807333737936020e+08 3.551664019396381544e+00
8.728850889194068874e-03 8.350005220103231668e+08 3.534851767394946442e+00
8.960575912161233836e-03 9.032818693504999876e+08 3.518490660251212709e+00
9.198452545111288764e-03 9.771468567863312960e+08 3.502656805561998876e+00
9.442644094988364434e-03 1.057052081000982881e+09 3.487415667915151118e+00
9.693318204050154624e-03 1.143491476422812462e+09 3.472807603623405903e+00
9.950646964957529303e-03 1.236999368482778788e+09 3.458848742335995485e+00
1.021480703891954230e-02 1.338153776549011946e+09 3.445533431165290761e+00
1.048597977697478950e-02 1.447579986955596924e+09 3.432846334390704968e+00
1.076435134449242950e-02 1.565954418212277174e+09 3.420771641082905656e+00
1.105011284897831729e-02 1.694008802287873983e+09 3.409293925892165511e+00
1.134346047127406457e-02 1.832534707814076424e+09 3.398392378808964054e+00
1.164459560023899456e-02 1.982388433169752836e+09 3.388025051748328575e+00
1.195372497100749901e-02 2.144496299692422152e+09 3.378119851116307970e+00
1.227106080691677502e-02 2.319860377736924648e+09 3.368574989968510458e+00
1.259682096520226002e-02 2.509564680976880550e+09 3.359270842357780396e+00
1.293122908656085465e-02 2.714781867239068985e+09 3.350087417251325750e+00
1.327451474868465535e-02 2.936780487291988850e+09 3.340912896889042472e+00
1.362691362387049611e-02 3.176932826396942616e+09 3.331638370093457091e+00
