#  R_hMpc M_hMsun sigma
6.731769766096334234e-03 9.999999999999992549e+07 6.985639248965167525e+00
6.910478226518019899e-03 1.081774017548855543e+08 6.951085625458452100e+00
7.093930864910123583e-03 1.170235025043788552e+08 6.916471968942251358e+00
7.282253625083947961e-03 1.265929844518005401e+08 6.881929253016650705e+00
7.475575794284285841e-03 1.369450013839241862e+08 6.847572690924155658e+00
7.674030091947649235e-03 1.481435443303208947e+08 6.813482445283079336e+00
7.877752760816777652e-03 1.602578371241383553e+08 6.779731194970967323e+00
8.086883660473885224e-03 1.733627643094693124e+08 6.746381653374710297e+00
8.301566363357017891e-03 1.875393340404295027e+08 6.713512412039571942e+00
8.521948253325349956e-03 2.028751788333524168e+08 6.681226859525571271e+00
8.748180626841026500e-03 2.194650972674982846e+08 6.649653582269690055e+00
8.980418796837160919e-03 2.374116399828114808e+08 6.618941660985285580e+00
9.218822199343211857e-03 2.568257435970685482e+08 6.589233757502344524e+00
9.463554502940878937e-03 2.778274164609733224e+08 6.560649442082604921e+00
9.714783721125800839e-03 3.005464804902063608e+08 6.533261088000609895e+00
9.972682327652079154e-03 3.251233736600584388e+08 6.507094624812578942e+00
1.023742737493891358e-02 3.517100181232795119e+08 6.482137540061589043e+00
1.050920061562046759e-02 3.804707593174002767e+08 6.458359781063152560e+00
1.078818862732266320e-02 4.115833818666481972e+08 6.435732303104757079e+00
1.107458294075229673e-02 4.452402085582282543e+08 6.414225649125317119e+00
1.136858017118665479e-02 4.816492891863244176e+08 6.393798431080563560e+00
1.167038215345370458e-02 5.210356866126410961e+08 6.374367645490828238e+00
1.198019608049562777e-02 5.636428679932829142e+08 6.355792182529969025e+00
1.229823464561084594e-02 6.097342097718533278e+08 6.337876687742736159e+00
1.262471618847207412e-02 6.595946257418736219e+08 6.320394891217974376e+00
1.295986484502080135e-02 7.135323282424197197e+08 6.303121799490512878e+00
1.330391070134096486e-02 7.718807333737916946e+08 6.285848192790424172e+00
1.365708995161750428e-02 8.350005220103226900e+08 6.268368702466831976e+00
1.401964506028832366e-02 9.032818693504977226e+08 6.250460366152419844e+00
1.439182492850082234e-02 9.771468567863289118e+08 6.231878057968707196e+00
1.477388506498736841e-02 1.057052081000982404e+09 6.212380104679420256e+00
1.516608776147706193e-02 1.143491476422810078e+09 6.191767593304374095e+00
1.556870227276409974e-02 1.236999368482776403e+09 6.169903387996535038e+00
1.598200500155641177e-02 1.338153776549008369e+09 6.146696442187998599e+00
1.640627968823156133e-02 1.447579986955592871e+09 6.122076935567331901e+00
1.684181760563000993e-02 1.565954418212272882e+09 6.095999832914803740e+00
1.728891775901957722e-02 1.694008802287869692e+09 6.068476697413022869e+00
1.774788709136843751e-02 1.832534707814072609e+09 6.039592094097856467e+00
1.821904069406741697e-02 1.982388433169748545e+09 6.009475377564244880e+00
1.870270202324635783e-02 2.144496299692418098e+09 5.978259866108112774e+00
1.919920312183310759e-02 2.319860377736922741e+09 5.946079337389083896e+00
1.970888484750739009e-02 2.509564680976873875e+09 5.913088983085999395e+00
2.023209710670632530e-02 2.714781867239067554e+09 5.879451632956813611e+00
2.076919909484192112e-02 2.936780487291985989e+09 5.758818568207118460e+00
2.132055954289582486e-02 3.176932826396934509e+09 5.730879270201200804e+00
2.188655697056026556e-02 3.436723387094254971e+09 5.703472447241162868e+00
2.246757994609918999e-02 3.717758065661059856e+09 5.683805223005744978e+00
2.306402735310799854e-02 4.021774078964822769e+09 5.654181193582472176e+00
2.367630866435488021e-02 4.350650703075627327e+09 5.624530247928290372e+00
2.430484422289181171e-02 4.706420890017870903e+09 5.630802150867702416e+00
2.495006553062832644e-02 5.091283834470486641e+09 5.565262028652366411e+00
2.561241554456594738e-02 5.507618568096686363e+09 5.535704065211289659e+00
2.629234898089675629e-02 5.957998665536621094e+09 5.506216637062338215e+00
2.699033262717501214e-02 6.445208152968264580e+09 5.490783006784628384e+00
