# Matter power spectrum P(k) at redshift z=1.77085
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       1.109580589427e+01 
       1.307253015860e-05       1.384070612356e+01 
       1.645734041311e-05       1.726463192263e+01 
       2.071856405662e-05       2.153554528534e+01 
       2.608312678676e-05       2.686293824369e+01 
       3.283671113090e-05       3.350810303830e+01 
       4.133897008243e-05       4.179689161064e+01 
       5.204267993417e-05       5.213563896965e+01 
       6.551785226700e-05       6.503093441876e+01 
       8.248208914511e-05       8.111416315846e+01 
       1.038387980426e-04       1.011718769482e+02 
       1.307253015860e-04       1.261831691496e+02 
       1.645734041311e-04       1.573653592233e+02 
       2.071856405662e-04       1.962291053012e+02 
       2.608312678676e-04       2.446436113244e+02 
       3.283671113090e-04       3.049112988862e+02 
       4.133897008243e-04       3.798488292094e+02 
       5.204267993417e-04       4.728671321546e+02 
       6.551785226700e-04       5.880373884345e+02 
       8.248208914511e-04       7.301246357395e+02 
       1.038387980426e-03       9.045685561377e+02 
       1.307253015860e-03       1.117384164182e+03 
       1.645734041311e-03       1.374872119864e+03 
       2.071856405662e-03       1.683113654964e+03 
       2.608312678676e-03       2.046888621709e+03 
       3.283671113090e-03       2.468271372405e+03 
       4.133897008243e-03       2.944679038514e+03 
       5.204267993417e-03       3.466251407029e+03 
       6.551785226700e-03       4.012703576370e+03 
       8.248208914511e-03       4.550050897115e+03 
       1.038387980426e-02       5.026760945786e+03 
       1.307253015860e-02       5.372836979766e+03 
       1.645734041309e-02       5.502534032273e+03 
       2.071856389740e-02       5.332227000206e+03 
       2.608300445243e-02       4.824048810665e+03 
       3.281964991556e-02       4.055726498894e+03 
       4.076731882098e-02       3.289314221745e+03 
       4.748610964640e-02       2.850363067484e+03 
       5.235556489500e-02       2.634999524676e+03 
       5.636819838611e-02       2.500816088297e+03 
       5.994952259956e-02       2.399545069143e+03 
       6.328896038018e-02       2.311063133983e+03 
       6.648665992189e-02       2.225276967649e+03 
       6.960262323712e-02       2.136812700883e+03 
       7.267623995969e-02       2.043106512358e+03 
       7.573525737584e-02       1.943468948753e+03 
       7.880036892493e-02       1.838888351403e+03 
       8.188776255393e-02       1.731102834677e+03 
       8.501063007773e-02       1.622807771206e+03 
       8.818010842318e-02       1.517001952178e+03 
