#  R_hMpc M_hMsun sigma
6.675854979820428081e-03 1.000000000000001639e+08 6.882344590691742425e+00
6.853079069011757882e-03 1.081774017548858076e+08 6.848402784209634220e+00
7.035007930533311235e-03 1.170235025043791533e+08 6.814359072500544734e+00
7.221766462093875440e-03 1.265929844518008381e+08 6.780344465767534246e+00
7.413482877064816491e-03 1.369450013839245141e+08 6.746480822489886009e+00
7.610288792501077558e-03 1.481435443303212821e+08 6.712856143569685408e+00
7.812319319498873399e-03 1.602578371241386831e+08 6.679542637481219458e+00
8.019713155952052849e-03 1.733627643094698191e+08 6.646605203833797937e+00
8.232612681770916027e-03 1.875393340404299796e+08 6.614111932908897984e+00
8.451164056628834159e-03 2.028751788333529234e+08 6.582158896468292220e+00
8.675517320303659241e-03 2.194650972674988508e+08 6.550862285093791648e+00
8.905826495682977670e-03 2.374116399828120470e+08 6.520366767944843822e+00
9.142249694503853594e-03 2.568257435970691741e+08 6.490814769937208517e+00
9.384949225899568218e-03 2.778274164609740973e+08 6.462335789106406381e+00
9.634091707828026235e-03 3.005464804902070761e+08 6.435014796838251172e+00
9.889848181458228346e-03 3.251233736600593328e+08 6.408893444364583303e+00
1.015239422859339283e-02 3.517100181232802272e+08 6.383967538174951883e+00
1.042191009221122948e-02 3.804707593174013495e+08 6.360212511523677392e+00
1.069858080020430653e-02 4.115833818666486740e+08 6.337597156419390032e+00
1.098259629240528473e-02 4.452402085582295060e+08 6.316094025717452709e+00
1.127415155098430120e-02 4.816492891863258481e+08 6.295669087021962262e+00
1.157344673430805645e-02 5.210356866126416326e+08 6.276255412095394171e+00
1.188068731435242519e-02 5.636428679932842255e+08 6.257734258236787639e+00
1.219608421776294249e-02 6.097342097718536854e+08 6.239928161146266028e+00
1.251985397066010357e-02 6.595946257418742180e+08 6.222620369686453046e+00
1.285221884728874123e-02 7.135323282424216270e+08 6.205587138946454751e+00
1.319340702261360444e-02 7.718807333737922907e+08 6.188617621561542492e+00
1.354365272896597416e-02 8.350005220103249550e+08 6.171510565178999208e+00
1.390319641684865590e-02 9.032818693504999876e+08 6.154054202380850214e+00
1.427228492001000534e-02 9.771468567863315344e+08 6.136013202642129905e+00
1.465117162490003726e-02 1.057052081000985146e+09 6.117144426180209926e+00
1.504011664462521873e-02 1.143491476422812939e+09 6.097235078969871935e+00
1.543938699752116402e-02 1.236999368482779264e+09 6.076131134102487508e+00
1.584925679046590014e-02 1.338153776549011946e+09 6.053731735923112645e+00
1.627000740705962858e-02 1.447579986955596924e+09 6.029963051265466945e+00
1.670192770080002401e-02 1.565954418212276697e+09 6.004770339196821460e+00
1.714531419338577098e-02 1.694008802287874460e+09 5.978143740701464814e+00
1.760047127828452684e-02 1.832534707814077377e+09 5.950144535235254217e+00
1.806771142970495583e-02 1.982388433169753790e+09 5.920890903806183658e+00
1.854735541711633254e-02 2.144496299692423105e+09 5.890515412617079782e+00
1.903973252546308642e-02 2.319860377736925602e+09 5.859147295474565809e+00
