# Matter power spectrum P(k) at redshift z=2.94945
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       5.586378324761e+00 
       1.307253015860e-05       6.968347652584e+00 
       1.645734041311e-05       8.692185015705e+00 
       2.071856405662e-05       1.084245461504e+01 
       2.608312678676e-05       1.352463243115e+01 
       3.283671113090e-05       1.687027223757e+01 
       4.133897008243e-05       2.104343941844e+01 
       5.204267993417e-05       2.624872537462e+01 
       6.551785226700e-05       3.274121142097e+01 
       8.248208914511e-05       4.083883999788e+01 
       1.038387980426e-04       5.093773027680e+01 
       1.307253015860e-04       6.353105523997e+01 
       1.645734041311e-04       7.923214227337e+01 
       2.071856405662e-04       9.880242166430e+01 
       2.608312678676e-04       1.231846164345e+02 
       3.283671113090e-04       1.535409630779e+02 
       4.133897008243e-04       1.912949867376e+02 
       5.204267993417e-04       2.381730508150e+02 
       6.551785226700e-04       2.962383863782e+02 
       8.248208914511e-04       3.679062316892e+02 
       1.038387980426e-03       4.559264287763e+02 
       1.307253015860e-03       5.633210945289e+02 
       1.645734041311e-03       6.932410293789e+02 
       2.071856405662e-03       8.487460432540e+02 
       2.608312678676e-03       1.032260348177e+03 
       3.283671113090e-03       1.244823241459e+03 
       4.133897008243e-03       1.485134674242e+03 
       5.204267993417e-03       1.748220888016e+03 
       6.551785226700e-03       2.023851028946e+03 
       8.248208914511e-03       2.294835199084e+03 
       1.038387980426e-02       2.535358233622e+03 
       1.307253015860e-02       2.709904257079e+03 
       1.645734041309e-02       2.775331667551e+03 
       2.071856389740e-02       2.689427147474e+03 
       2.608300445243e-02       2.433116935792e+03 
       3.281964991556e-02       2.045597712504e+03 
       4.076731882098e-02       1.659051379619e+03 
       4.748610964640e-02       1.437645621515e+03 
       5.235556489500e-02       1.329027111761e+03 
       5.636819838611e-02       1.261348456821e+03 
       5.994952259956e-02       1.210264984749e+03 
       6.328896038018e-02       1.165637213589e+03 
       6.648665992189e-02       1.122370731719e+03 
       6.960262323712e-02       1.077753330782e+03 
       7.267623995969e-02       1.030489158991e+03 
       7.573525737584e-02       9.802600779141e+02 
       7.880036892493e-02       9.274856335186e+02 
       8.188776255393e-02       8.731240997304e+02 
       8.501063007773e-02       8.185031550970e+02 
       8.818010842318e-02       7.651350769558e+02 
       9.140589175815e-02       7.145342748471e+02 
       9.469664359045e-02       6.680467888724e+02 
       9.806028224808e-02       6.267079315606e+02 
       1.015041833512e-01       5.911322239569e+02 
       1.050353261720e-01       5.614476056764e+02 
       1.086604010236e-01       5.372732868259e+02 
