# Matter power spectrum P(k) at redshift z=0.347164
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       3.776341273383e+01 
       1.307253015860e-05       4.710540319676e+01 
       1.645734041311e-05       5.875833848519e+01 
       2.071856405662e-05       7.329390388748e+01 
       2.608312678676e-05       9.142504598682e+01 
       3.283671113090e-05       1.140409704625e+02 
       4.133897008243e-05       1.422506220882e+02 
       5.204267993417e-05       1.774367180244e+02 
       6.551785226700e-05       2.213230187094e+02 
       8.248208914511e-05       2.760576676901e+02 
       1.038387980426e-04       3.443162068548e+02 
       1.307253015860e-04       4.294281573299e+02 
       1.645734041311e-04       5.355312808114e+02 
       2.071856405662e-04       6.677569750361e+02 
       2.608312678676e-04       8.324484115444e+02 
       3.283671113090e-04       1.037408784399e+03 
       4.133897008243e-04       1.292169616556e+03 
       5.204267993417e-04       1.608258579264e+03 
       6.551785226700e-04       1.999434950849e+03 
       8.248208914511e-04       2.481848606251e+03 
       1.038387980426e-03       3.074041380078e+03 
       1.307253015860e-03       3.796591314422e+03 
       1.645734041311e-03       4.670950605387e+03 
       2.071856405662e-03       5.717720734292e+03 
       2.608312678676e-03       6.953156160547e+03 
       3.283671113090e-03       8.384290851804e+03 
       4.133897008243e-03       1.000235344936e+04 
       5.204267993417e-03       1.177385352737e+04 
       6.551785226700e-03       1.362930222089e+04 
       8.248208914511e-03       1.545433562709e+04 
       1.038387980426e-02       1.707361291408e+04 
       1.307253015860e-02       1.824884646009e+04 
       1.645734041309e-02       1.868951377282e+04 
       2.071856389740e-02       1.811158383467e+04 
       2.608300445243e-02       1.638535284379e+04 
       3.281964991556e-02       1.377570352256e+04 
       4.076731882098e-02       1.117249689462e+04 
       4.748610964640e-02       9.681473367841e+03 
       5.235556489500e-02       8.949898932113e+03 
       5.636819838611e-02       8.494134579824e+03 
       5.994952259956e-02       8.150269121351e+03 
       6.328896038018e-02       7.849619514886e+03 
       6.648665992189e-02       7.558114035000e+03 
       6.960262323712e-02       7.257713656284e+03 
       7.267623995969e-02       6.939364897423e+03 
       7.573525737584e-02       6.601136584052e+03 
       7.880036892493e-02       6.245800868611e+03 
       8.188776255393e-02       5.879715727362e+03 
       8.501063007773e-02       5.511944670163e+03 
       8.818010842318e-02       5.152575891595e+03 
       9.140589175815e-02       4.811874412133e+03 
       9.469664359045e-02       4.498783636001e+03 
       9.806028224808e-02       4.220300853689e+03 
       1.015041833512e-01       3.980824298403e+03 
       1.050353261720e-01       3.780938673467e+03 
       1.086604010236e-01       3.618122944989e+03 
       1.123858889329e-01       3.486555664197e+03 
       1.162181211904e-01       3.377310462696e+03 
       1.201633240441e-01       3.279416600815e+03 
       1.242276522951e-01       3.181093540088e+03 
       1.284172145558e-01       3.071456894875e+03 
       1.327380922745e-01       2.942738328997e+03 
       1.371963541906e-01       2.792196592723e+03 
       1.417980675894e-01       2.623013056189e+03 
       1.465493075383e-01       2.443392975014e+03 
       1.514561651563e-01       2.265355505965e+03 
       1.565247558934e-01       2.101080551840e+03 
       1.617612287437e-01       1.960130896258e+03 
       1.671717772872e-01       1.847047328636e+03 
       1.727626534338e-01       1.760303585859e+03 
       1.785401847321e-01       1.692322709208e+03 
       1.845107960933e-01       1.632368157319e+03 
       1.906810367808e-01       1.568324195532e+03 
       1.970576135147e-01       1.491064422442e+03 
       2.036474305566e-01       1.399051310203e+03 
       2.104576376707e-01       1.298995440971e+03 
       2.174956869163e-01       1.201495332584e+03 
       2.247693993211e-01       1.116095671570e+03 
       2.322870426350e-01       1.047615523251e+03 
       2.400574215756e-01       9.946267848719e+02 
       2.480899822819e-01       9.496824532283e+02 
       2.563949331083e-01       9.035490486113e+02 
       2.649833844501e-01       8.507011594061e+02 
       2.738675110412e-01       7.920807327330e+02 
       2.830607411522e-01       7.339793869155e+02 
       2.925779784269e-01       6.834574482290e+02 
       3.024358638260e-01       6.424548194218e+02 
       3.126530874568e-01       6.074122341787e+02 
       3.232507631655e-01       5.727128182067e+02 
       3.342528829678e-01       5.351776038337e+02 
       3.456868741616e-01       4.969306373123e+02 
       3.575842899774e-01       4.619367121343e+02 
       3.699816759319e-01       4.319915880381e+02 
       3.829216702507e-01       4.047892214028e+02 
       3.964544203492e-01       3.774984791211e+02 
       4.106394324383e-01       3.499783750285e+02 
       4.255480244689e-01       3.243013167621e+02 
       4.412666349754e-01       3.011268677676e+02 
       4.579013710836e-01       2.792037546395e+02 
       4.755843921419e-01       2.574742384831e+02 
